# frames 151  rho0 0.066151  RMAX 15.0  Lorch window
# q(1/A)  S_N(q)
5.000000000000000000e-01 2.858863248351147801e-01
5.200000000000000178e-01 2.909402134520997496e-01
5.400000000000000355e-01 2.952274186517941379e-01
5.600000000000000533e-01 2.988166091184456530e-01
5.800000000000000711e-01 3.018088432846299796e-01
6.000000000000000888e-01 3.043324705969547850e-01
6.200000000000001066e-01 3.065368119448620421e-01
6.400000000000001243e-01 3.085850306883037852e-01
6.600000000000001421e-01 3.106466523880956343e-01
6.800000000000001599e-01 3.128902079742035269e-01
7.000000000000001776e-01 3.154764606565827467e-01
7.200000000000001954e-01 3.185526323874673382e-01
7.400000000000002132e-01 3.222479740711926555e-01
7.600000000000002309e-01 3.266709296883049118e-01
7.800000000000002487e-01 3.319080341969857795e-01
8.000000000000002665e-01 3.380245656768761098e-01
8.200000000000002842e-01 3.450668514387732477e-01
8.400000000000003020e-01 3.530660135570823366e-01
8.600000000000003197e-01 3.620428388743898163e-01
8.800000000000003375e-01 3.720133784574780611e-01
9.000000000000003553e-01 3.829948269150328377e-01
9.200000000000003730e-01 3.950112064469721851e-01
9.400000000000003908e-01 4.080983856625360895e-01
9.600000000000004086e-01 4.223079988159392784e-01
9.800000000000004263e-01 4.377098949920251725e-01
1.000000000000000444e+00 4.543928350011785522e-01
1.020000000000000462e+00 4.724632608911192300e-01
1.040000000000000480e+00 4.920420824927312919e-01
1.060000000000000497e+00 5.132595500099170760e-01
1.080000000000000515e+00 5.362484038043029422e-01
1.100000000000000533e+00 5.611356048903468619e-01
1.120000000000000551e+00 5.880330455789459787e-01
1.140000000000000568e+00 6.170277135775140698e-01
1.160000000000000586e+00 6.481718304397210417e-01
1.180000000000000604e+00 6.814735039355288571e-01
1.200000000000000622e+00 7.168884227923069119e-01
1.220000000000000639e+00 7.543130821986677725e-01
1.240000000000000657e+00 7.935799619756116474e-01
1.260000000000000675e+00 8.344549903752944697e-01
1.280000000000000693e+00 8.766375202188749771e-01
1.300000000000000711e+00 9.197629265248055130e-01
1.320000000000000728e+00 9.634078123613051270e-01
1.340000000000000746e+00 1.007097688901433807e+00
1.360000000000000764e+00 1.050316882770170102e+00
1.380000000000000782e+00 1.092520324292287404e+00
1.400000000000000799e+00 1.133146788768599533e+00
1.420000000000000817e+00 1.171633102849604757e+00
1.440000000000000835e+00 1.207428791561696801e+00
1.460000000000000853e+00 1.240010629346779636e+00
1.480000000000000870e+00 1.268896570068285268e+00
1.500000000000000888e+00 1.293658564592120586e+00
1.520000000000000906e+00 1.313933827539333299e+00
1.540000000000000924e+00 1.329434183622263177e+00
1.560000000000000941e+00 1.339953204597725378e+00
1.580000000000000959e+00 1.345370936037433740e+00
1.600000000000000977e+00 1.345656104585403856e+00
1.620000000000000995e+00 1.340865787157507372e+00
1.640000000000001013e+00 1.331142610101009094e+00
1.660000000000001030e+00 1.316709625722985333e+00
1.680000000000001048e+00 1.297863083541089591e+00
1.700000000000001066e+00 1.274963372532975203e+00
1.720000000000001084e+00 1.248424457658002140e+00
1.740000000000001101e+00 1.218702168690029009e+00
1.760000000000001119e+00 1.186281722115021253e+00
1.780000000000001137e+00 1.151664868052967305e+00
1.800000000000001155e+00 1.115357054625142119e+00
1.820000000000001172e+00 1.077854992766637210e+00
1.840000000000001190e+00 1.039634986032396791e+00
1.860000000000001208e+00 1.001142363229871490e+00
1.880000000000001226e+00 9.627823173769303189e-01
1.900000000000001243e+00 9.249124130524415399e-01
1.920000000000001261e+00 8.878369761192184129e-01
1.940000000000001279e+00 8.518035254839244619e-01
1.960000000000001297e+00 8.170013465274428288e-01
1.980000000000001315e+00 7.835622407899232034e-01
2.000000000000001332e+00 7.515634174123143607e-01
2.020000000000001350e+00 7.210324200773059466e-01
2.040000000000001368e+00 6.919539105398876400e-01
2.060000000000001386e+00 6.642780585144184569e-01
2.080000000000001403e+00 6.379302203218366607e-01
2.100000000000001421e+00 6.128215282521054519e-01
2.120000000000001439e+00 5.888599622089709662e-01
2.140000000000001457e+00 5.659614380376987164e-01
2.160000000000001474e+00 5.440604259594972181e-01
2.180000000000001492e+00 5.231196102963551198e-01
2.200000000000001510e+00 5.031381200658527897e-01
2.220000000000001528e+00 4.841579000955208434e-01
2.240000000000001545e+00 4.662678540525500015e-01
2.260000000000001563e+00 4.496054730490323115e-01
2.280000000000001581e+00 4.343557638907076246e-01
2.300000000000001599e+00 4.207474060171300101e-01
2.320000000000001616e+00 4.090461910678744317e-01
2.340000000000001634e+00 3.995459282266490275e-01
2.360000000000001652e+00 3.925571258142156461e-01
2.380000000000001670e+00 3.883938784603251371e-01
2.400000000000001688e+00 3.873594930546515602e-01
2.420000000000001705e+00 3.897314694454284689e-01
2.440000000000001723e+00 3.957465082138124091e-01
2.460000000000001741e+00 4.055862436536095128e-01
2.480000000000001759e+00 4.193643926462595761e-01
2.500000000000001776e+00 4.371159684502496923e-01
2.520000000000001794e+00 4.587891333630889079e-01
2.540000000000001812e+00 4.842401584633699851e-01
2.560000000000001830e+00 5.132318266790529826e-01
2.580000000000001847e+00 5.454354633188420731e-01
2.600000000000001865e+00 5.804366132972804682e-01
2.620000000000001883e+00 6.177442148356228069e-01
2.640000000000001901e+00 6.568029541386048997e-01
2.660000000000001918e+00 6.970083331057745912e-01
2.680000000000001936e+00 7.377238506750201097e-01
2.700000000000001954e+00 7.782995950435565025e-01
2.720000000000001972e+00 8.180914744579511622e-01
2.740000000000001990e+00 8.564802824141058979e-01
2.760000000000002007e+00 8.928898008330575786e-01
2.780000000000002025e+00 9.268031917923218455e-01
2.800000000000002043e+00 9.577770122492811344e-01
2.820000000000002061e+00 9.854523024166119693e-01
2.840000000000002078e+00 1.009562340784448509e+00
2.860000000000002096e+00 1.029936819553478822e+00
2.880000000000002114e+00 1.046502364793999718e+00
2.900000000000002132e+00 1.059279496849948599e+00
2.920000000000002149e+00 1.068376289291025572e+00
2.940000000000002167e+00 1.073979130586643738e+00
2.960000000000002185e+00 1.076341114205350280e+00
2.980000000000002203e+00 1.075768674090504362e+00
3.000000000000002220e+00 1.072607139296517076e+00
3.020000000000002238e+00 1.067225901883013695e+00
3.040000000000002256e+00 1.060003875962391540e+00
3.060000000000002274e+00 1.051315875156079604e+00
3.080000000000002292e+00 1.041520454618391600e+00
3.100000000000002309e+00 1.030949657842541667e+00
3.120000000000002327e+00 1.019900984533181232e+00
3.140000000000002345e+00 1.008631761587680309e+00
3.160000000000002363e+00 9.973559626786505650e-01
3.180000000000002380e+00 9.862433909169473489e-01
3.200000000000002398e+00 9.754210208130894566e-01
3.220000000000002416e+00 9.649761964155602056e-01
3.240000000000002434e+00 9.549613068707061281e-01
3.260000000000002451e+00 9.453995118749427551e-01
3.280000000000002469e+00 9.362910689654504459e-01
3.300000000000002487e+00 9.276198219270443968e-01
3.320000000000002505e+00 9.193594426980492562e-01
3.340000000000002522e+00 9.114790744640572928e-01
3.360000000000002540e+00 9.039480963589274776e-01
3.380000000000002558e+00 8.967398147207529258e-01
3.400000000000002576e+00 8.898339760956565092e-01
3.420000000000002593e+00 8.832180870185084576e-01
3.440000000000002611e+00 8.768876092541885159e-01
3.460000000000002629e+00 8.708451715946701199e-01
3.480000000000002647e+00 8.650989964243752661e-01
3.500000000000002665e+00 8.596607782661875863e-01
3.520000000000002682e+00 8.545432709382667635e-01
3.540000000000002700e+00 8.497578397132961037e-01
3.560000000000002718e+00 8.453122162325680256e-01
3.580000000000002736e+00 8.412086593242258381e-01
3.600000000000002753e+00 8.374426777046248827e-01
3.620000000000002771e+00 8.340024148829919826e-01
3.640000000000002789e+00 8.308687368915325111e-01
3.660000000000002807e+00 8.280160042215491956e-01
3.680000000000002824e+00 8.254134547901976759e-01
3.700000000000002842e+00 8.230270785740068096e-01
3.720000000000002860e+00 8.208218296279621295e-01
3.740000000000002878e+00 8.187639995219435640e-01
3.760000000000002895e+00 8.168235686911888838e-01
3.780000000000002913e+00 8.149763586818399297e-01
3.800000000000002931e+00 8.132058276489270154e-01
3.820000000000002949e+00 8.115043817358433831e-01
3.840000000000002967e+00 8.098741134484058746e-01
3.860000000000002984e+00 8.083269216865640594e-01
3.880000000000003002e+00 8.068840133491330668e-01
3.900000000000003020e+00 8.055748300519676164e-01
3.920000000000003038e+00 8.044354824393535885e-01
3.940000000000003055e+00 8.035068062423866841e-01
3.960000000000003073e+00 8.028321767092319039e-01
3.980000000000003091e+00 8.024552301150089662e-01
4.000000000000003553e+00 8.024176423705350336e-01
4.020000000000003126e+00 8.027571056981906983e-01
4.040000000000002700e+00 8.035056260628816727e-01
4.060000000000003162e+00 8.046882382760649488e-01
4.080000000000003624e+00 8.063222046203414317e-01
4.100000000000003197e+00 8.084167289270998147e-01
4.120000000000002771e+00 8.109731838086636779e-01
4.140000000000003233e+00 8.139858166100040204e-01
4.160000000000003695e+00 8.174428717233448438e-01
4.180000000000003268e+00 8.213280448886786100e-01
4.200000000000002842e+00 8.256221701344488295e-01
4.220000000000003304e+00 8.303050326515115653e-01
4.240000000000003766e+00 8.353572010924128488e-01
4.260000000000003340e+00 8.407617799333166886e-01
4.280000000000002913e+00 8.465059955272609127e-01
4.300000000000003375e+00 8.525825468414761632e-01
4.320000000000003837e+00 8.589906718997180057e-01
4.340000000000003411e+00 8.657369018490630452e-01
4.360000000000002984e+00 8.728354946103318301e-01
4.380000000000003446e+00 8.803085577261330341e-01
4.400000000000003908e+00 8.881858840832517199e-01
4.420000000000003482e+00 8.965045338533813579e-01
4.440000000000003055e+00 9.053082009170293487e-01
4.460000000000003517e+00 9.146464023202109939e-01
4.480000000000003979e+00 9.245735255042588641e-01
4.500000000000003553e+00 9.351477610540738228e-01
4.520000000000003126e+00 9.464299397098222544e-01
4.540000000000003588e+00 9.584822827187642336e-01
4.560000000000004050e+00 9.713670656359300049e-01
4.580000000000003624e+00 9.851451886876905206e-01
4.600000000000003197e+00 9.998746428522918839e-01
4.620000000000003659e+00 1.015608860638865574e+00
4.640000000000004121e+00 1.032394944535628412e+00
4.660000000000003695e+00 1.050271774207259590e+00
4.680000000000003268e+00 1.069268005290977763e+00
4.700000000000003730e+00 1.089399987225552868e+00
4.720000000000004192e+00 1.110669643782278504e+00
4.740000000000003766e+00 1.133062376458803699e+00
4.760000000000003340e+00 1.156545066136672739e+00
4.780000000000003801e+00 1.181064260888720741e+00
4.800000000000004263e+00 1.206544646180238267e+00
4.820000000000003837e+00 1.232887896809641504e+00
4.840000000000003411e+00 1.259972006993697047e+00
4.860000000000003872e+00 1.287651185646403018e+00
4.880000000000004334e+00 1.315756388211912986e+00
4.900000000000003908e+00 1.344096534935443454e+00
4.920000000000003482e+00 1.372460439172594082e+00
4.940000000000003944e+00 1.400619439603292937e+00
4.960000000000004405e+00 1.428330698675985833e+00
4.980000000000003979e+00 1.455341098083124063e+00
5.000000000000003553e+00 1.481391632437925487e+00
5.020000000000004015e+00 1.506222176389103273e+00
5.040000000000004476e+00 1.529576479782660092e+00
5.060000000000004050e+00 1.551207231459440949e+00
5.080000000000003624e+00 1.570881025770547890e+00
5.100000000000004086e+00 1.588383067350456201e+00
5.120000000000004547e+00 1.603521459074763733e+00
5.140000000000004121e+00 1.616130934929273621e+00
5.160000000000003695e+00 1.626075922768042137e+00
5.180000000000004157e+00 1.633252850300337400e+00
5.200000000000004619e+00 1.637591639493346074e+00
5.220000000000004192e+00 1.639056368104614858e+00
5.240000000000003766e+00 1.637645110403141091e+00
5.260000000000004228e+00 1.633389000501253907e+00
5.280000000000004690e+00 1.626350589478405384e+00
5.300000000000004263e+00 1.616621590286791532e+00
5.320000000000003837e+00 1.604320121295858659e+00
5.340000000000004299e+00 1.589587569673328149e+00
5.360000000000004761e+00 1.572585199458466754e+00
5.380000000000004334e+00 1.553490626424817833e+00
5.400000000000003908e+00 1.532494273306080457e+00
5.420000000000004370e+00 1.509795905646264425e+00
5.440000000000004832e+00 1.485601331652642632e+00
5.460000000000004405e+00 1.460119330344177513e+00
5.480000000000003979e+00 1.433558852411853435e+00
5.500000000000004441e+00 1.406126518898964228e+00
5.520000000000004903e+00 1.378024425279877008e+00
5.540000000000004476e+00 1.349448243751198984e+00
5.560000000000004050e+00 1.320585605252331263e+00
5.580000000000004512e+00 1.291614735287850646e+00
5.600000000000004974e+00 1.262703314088873263e+00
5.620000000000004547e+00 1.234007531768769539e+00
5.640000000000004121e+00 1.205671312369837711e+00
5.660000000000004583e+00 1.177825686313874964e+00
5.680000000000005045e+00 1.150588297867256138e+00
5.700000000000004619e+00 1.124063041850519529e+00
5.720000000000004192e+00 1.098339831019913948e+00
5.740000000000004654e+00 1.073494501473972962e+00
5.760000000000005116e+00 1.049588867403290271e+00
5.780000000000004690e+00 1.026670938031310154e+00
5.800000000000004263e+00 1.004775308460607919e+00
5.820000000000004725e+00 9.839237323756285791e-01
5.840000000000005187e+00 9.641258784439625806e-01
5.860000000000004761e+00 9.453802643120909899e-01
5.880000000000004334e+00 9.276753529933839948e-01
5.900000000000004796e+00 9.109907869987522444e-01
5.920000000000005258e+00 8.952987266155403301e-01
5.940000000000004832e+00 8.805652511274320027e-01
5.960000000000004405e+00 8.667517762250903646e-01
5.980000000000004867e+00 8.538164379689743289e-01
6.000000000000005329e+00 8.417153938155267356e-01
6.020000000000004903e+00 8.304039945547722068e-01
6.040000000000004476e+00 8.198377874317591685e-01
6.060000000000004938e+00 8.099733198935782363e-01
6.080000000000005400e+00 8.007687247561442456e-01
6.100000000000004974e+00 7.921840803809245823e-01
6.120000000000004547e+00 7.841815528285266401e-01
6.140000000000005009e+00 7.767253399917029011e-01
6.160000000000005471e+00 7.697814494929636764e-01
6.180000000000005045e+00 7.633173518274920522e-01
6.200000000000004619e+00 7.573015571466048534e-01
6.220000000000005080e+00 7.517031677089187625e-01
6.240000000000005542e+00 7.464914581039405750e-01
6.260000000000005116e+00 7.416355318550004183e-01
6.280000000000004690e+00 7.371040961673932523e-01
6.300000000000005151e+00 7.328653868724209763e-01
6.320000000000005613e+00 7.288872637015118006e-01
6.340000000000005187e+00 7.251374827351833030e-01
6.360000000000004761e+00 7.215841391341386579e-01
6.380000000000005222e+00 7.181962600296170063e-01
6.400000000000005684e+00 7.149445156451482708e-01
6.420000000000005258e+00 7.118020071576738328e-01
6.440000000000004832e+00 7.087450831384475292e-01
6.460000000000005294e+00 7.057541330938188473e-01
