# Time-averaged data for fix rdfavg
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7]
100000 200
1 0.02 0 0 0 0 0 0
2 0.06 0 0 0 0 0 0
3 0.1 0 0 0 0 0 0
4 0.14 0 0 0 0 0 0
5 0.18 0 0 0 0 0 0
6 0.22 0 0 0 0 0 0
7 0.26 0 0 0 0 0 0
8 0.3 0 0 0 0 0 0
9 0.34 0 0 0 0 0 0
10 0.38 0 0 0 0 0 0
11 0.42 0 0 0 0 0 0
12 0.46 0 0 0 0 0 0
13 0.5 0 0 0 0 0 0
14 0.54 0 0 0 0 0 0
15 0.58 0 0 0 0 0 0
16 0.62 0 0 0 0 0 0
17 0.66 0 0 0 0 0 0
18 0.7 0 0 0 0 0 0
19 0.74 0 0 0 0 0 0
20 0.78 0 0 0 0 0 0
21 0.82 0 0 0 0 0 0
22 0.86 0 0 0 0 0 0
23 0.9 0 0 0 0 0 0
24 0.94 0 0 0 0 0 0
25 0.98 0 0 0 0 0 0
26 1.02 0 0 0 0 0 0
27 1.06 0 0 0 0 0 0
28 1.1 0 0 0 0 0 0
29 1.14 0 0 0 0 0 0
30 1.18 0 0 0 0 0 0
31 1.22 0 0 0 0 0 0
32 1.26 0 0 0 0 0 0
33 1.3 0 0 0 0 0 0
34 1.34 0 0 0 0 0 0
35 1.38 0 0 0 0 0 0
36 1.42 0 0 0 0 0 0
37 1.46 0 0 0.000293913 6.94444e-06 0 0
38 1.5 0 0 0.065385 0.00163764 0 0
39 1.54 0 0 2.9998 0.0804954 0 0
40 1.58 0 0 21.4503 0.674044 0 0
41 1.62 0 0 31.0946 1.57857 0 0
42 1.66 0 0 11.9151 1.94251 0 0
43 1.7 0 0 1.60185 1.99382 0 0
44 1.74 0 0 0.15163 1.99891 0 0
45 1.78 0 0 0.0356445 2.00016 0 0
46 1.82 0 0 0.0109892 2.00057 0 0
47 1.86 0 0 0.00281785 2.00067 0 0
48 1.9 0 0 0.00043735 2.00069 0 0
49 1.94 0 0 7.32462e-05 2.00069 0 0
50 1.98 0 0 1.27849e-05 2.00069 0 0
51 2.02 0 0 0 2.00069 0 0
52 2.06 3.54582e-05 3.33333e-06 0 2.00069 0 0
53 2.1 0.000543081 5.63889e-05 0 2.00069 0 0
54 2.14 0.00303925 0.000364722 0 2.00069 0 0
55 2.18 0.00531131 0.000923889 0 2.00069 0 0
56 2.22 0.00348821 0.00130472 0 2.00069 0 0
57 2.26 0.00243783 0.00158056 0 2.00069 0 0
58 2.3 0.0104557 0.00280583 4.73745e-06 2.00069 3.79523e-05 2.22222e-06
59 2.34 0.0511455 0.00900972 3.43266e-05 2.0007 0.00111831 7e-05
60 2.38 0.207847 0.0350906 9.73352e-05 2.0007 0.00832044 0.000591667
61 2.42 0.663638 0.121187 0.000256757 2.00072 0.0172009 0.00170667
62 2.46 1.64914 0.342268 0.000436902 2.00075 0.0122586 0.00252778
63 2.5 3.20371 0.785832 0.000850076 2.00081 0.0032926 0.00275556
64 2.54 4.9416 1.49208 0.00159459 2.00092 0.000303412 0.00277722
65 2.58 6.1264 2.39546 0.00266373 2.00112 7.54044e-06 0.00277778
66 2.62 6.29481 3.35267 0.00389734 2.00141 0.000197423 0.00279278
67 2.66 5.49584 4.2141 0.00573793 2.00186 0.00181599 0.002935
68 2.7 4.2161 4.89496 0.00819219 2.00253 0.0107063 0.00379889
69 2.74 2.88597 5.37493 0.0116367 2.0035 0.0404408 0.00715944
70 2.78 1.78776 5.681 0.0163419 2.0049 0.103718 0.0160317
71 2.82 1.02049 5.86078 0.0221277 2.00685 0.216286 0.0350694
72 2.86 0.559106 5.96209 0.0297013 2.00954 0.425435 0.0735867
73 2.9 0.328694 6.02332 0.039754 2.01324 0.821335 0.150042
74 2.94 0.234431 6.06821 0.0522286 2.01825 1.44039 0.287846
75 2.98 0.206154 6.10876 0.0689143 2.02503 2.24451 0.508466
76 3.02 0.205698 6.15032 0.0895218 2.03408 3.22738 0.834267
77 3.06 0.221517 6.19627 0.115007 2.04602 4.40386 1.29069
78 3.1 0.246699 6.24879 0.147128 2.06169 5.61495 1.88794
79 3.14 0.273892 6.30861 0.187128 2.08214 6.36927 2.58302
80 3.18 0.303062 6.3765 0.235572 2.10854 5.97644 3.25196
81 3.22 0.332954 6.45298 0.288853 2.14174 4.05396 3.7172
82 3.26 0.361617 6.53811 0.350048 2.18297 1.80818 3.9299
83 3.3 0.393347 6.633 0.419658 2.23363 0.516007 3.9921
84 3.34 0.423944 6.73777 0.507586 2.29639 0.0958355 4.00393
85 3.38 0.456545 6.85331 0.607683 2.37334 0.0125258 4.00551
86 3.42 0.487745 6.97968 0.718547 2.46649 0.00219285 4.0058
87 3.46 0.517746 7.11699 0.839135 2.57784 0.00283423 4.00617
88 3.5 0.54472 7.26481 0.962224 2.70848 0.00531018 4.00689
89 3.54 0.566199 7.42199 1.08871 2.8597 0.0106541 4.00837
90 3.58 0.585912 7.58834 1.21477 3.03227 0.0175019 4.01086
91 3.62 0.604875 7.76393 1.34362 3.22742 0.0279951 4.01492
92 3.66 0.619247 7.94768 1.45857 3.44399 0.0426404 4.02124
93 3.7 0.634864 8.14022 1.56655 3.68169 0.0608949 4.03046
94 3.74 0.651382 8.34205 1.65718 3.93861 0.0847 4.04358
95 3.78 0.665428 8.55267 1.72697 4.21211 0.112361 4.06135
96 3.82 0.679829 8.77243 1.77555 4.49929 0.149167 4.08544
97 3.86 0.695103 9.00186 1.80738 4.79777 0.19064 4.11688
98 3.9 0.710932 9.2414 1.83077 5.10641 0.241919 4.15761
99 3.94 0.722457 9.48984 1.85626 5.4258 0.298911 4.20897
100 3.98 0.735891 9.74806 1.8928 5.75812 0.350808 4.27047
101 4.02 0.748883 10.0162 1.94374 6.10628 0.401678 4.34232
102 4.06 0.764143 10.2952 1.9933 6.47046 0.458037 4.42589
103 4.1 0.779176 10.5853 2.02853 6.84842 0.522665 4.52314
104 4.14 0.79401 10.8868 2.04008 7.23597 0.595683 4.63614
105 4.18 0.809888 11.2003 1.99983 7.62326 0.666749 4.76509
106 4.22 0.825209 11.5258 1.90235 7.99876 0.736641 4.91029
107 4.26 0.84268 11.8646 1.73811 8.34837 0.802534 5.07149
108 4.3 0.858736 12.2163 1.53015 8.66196 0.868388 5.24921
109 4.34 0.88193 12.5843 1.29973 8.9333 0.935026 5.44414
110 4.38 0.90783 12.9701 1.08852 9.16476 0.987309 5.65379
111 4.42 0.9365 13.3754 0.912824 9.36242 1.03176 5.87689
112 4.46 0.967347 13.8016 0.788893 9.53635 1.07154 6.11281
113 4.5 1.00244 14.2513 0.717177 9.69732 1.10964 6.36152
114 4.54 1.03689 14.7248 0.679342 9.85252 1.14376 6.62246
115 4.58 1.07903 15.2262 0.663303 10.0067 1.18346 6.89723
116 4.62 1.12223 15.7568 0.660144 10.1629 1.2176 7.18488
117 4.66 1.17396 16.3215 0.66142 10.3221 1.25724 7.48707
118 4.7 1.23713 16.9269 0.667082 10.4854 1.29217 7.80301
119 4.74 1.31214 17.58 0.673713 10.6532 1.33062 8.13391
120 4.78 1.38903 18.283 0.680278 10.8255 1.35856 8.47748
121 4.82 1.47079 19.0399 0.688667 11.0028 1.38057 8.83249
122 4.86 1.5511 19.8515 0.694904 11.1847 1.39755 9.19785
123 4.9 1.62169 20.7141 0.70417 11.3721 1.41505 9.5739
124 4.94 1.67941 21.6219 0.711009 11.5645 1.43144 9.96055
125 4.98 1.71903 22.5663 0.719153 11.7621 1.45243 10.3592
126 5.02 1.73321 23.5339 0.725315 11.9647 1.47214 10.7699
127 5.06 1.71882 24.5088 0.735968 12.1736 1.49192 11.1927
128 5.1 1.6743 25.4735 0.749743 12.3897 1.5019 11.625
129 5.14 1.60173 26.4109 0.763245 12.6132 1.49897 12.0634
130 5.18 1.50815 27.3073 0.777195 12.8444 1.48008 12.5029
131 5.22 1.3969 28.1505 0.789243 13.0827 1.46437 12.9446
132 5.26 1.27756 28.9335 0.802217 13.3287 1.43351 13.3836
133 5.3 1.16414 29.6579 0.813879 13.5821 1.39411 13.817
134 5.34 1.061 30.3281 0.825122 13.8429 1.35351 14.2442
135 5.38 0.972899 30.9519 0.834956 14.1108 1.31107 14.6642
136 5.42 0.900273 31.5378 0.84724 14.3867 1.28427 15.0818
137 5.46 0.84277 32.0943 0.864736 14.6724 1.26633 15.4997
138 5.5 0.800582 32.6308 0.886969 14.9698 1.25175 15.9188
139 5.54 0.770044 33.1544 0.915657 15.2813 1.23386 16.3379
140 5.58 0.751234 33.6725 0.949402 15.6089 1.21125 16.7554
141 5.62 0.741528 34.1913 0.984002 15.9534 1.18386 17.1692
142 5.66 0.737843 34.7149 1.01763 16.3147 1.15351 17.5782
143 5.7 0.741246 35.2484 1.05084 16.6931 1.1159 17.9795
144 5.74 0.749055 35.7951 1.08108 17.0879 1.08377 18.3748
145 5.78 0.759416 36.3572 1.10518 17.4972 1.04774 18.7622
146 5.82 0.769422 36.9345 1.12247 17.9186 1.0161 19.1431
147 5.86 0.779874 37.5277 1.13554 18.3508 0.970036 19.5118
148 5.9 0.790251 38.1371 1.1442 18.7922 0.912892 19.8636
149 5.94 0.797708 38.7606 1.15039 19.2421 0.853627 20.1969
150 5.98 0.804779 39.3981 1.15741 19.7009 0.796052 20.512
151 6.02 0.812388 40.0503 1.1688 20.1704 0.747518 20.8119
152 6.06 0.819434 40.7169 1.18171 20.6514 0.714437 21.1023
153 6.1 0.827227 41.3988 1.19676 21.145 0.694899 21.3885
154 6.14 0.834635 42.0958 1.21405 21.6522 0.683822 21.6738
155 6.18 0.844311 42.8102 1.23005 22.1729 0.679342 21.961
156 6.22 0.852321 43.5406 1.23924 22.7043 0.681282 22.2527
157 6.26 0.86274 44.2896 1.24531 23.2452 0.678855 22.5472
158 6.3 0.871864 45.0561 1.24615 23.7934 0.677936 22.845
159 6.34 0.881454 45.841 1.24075 24.3462 0.674163 23.1449
160 6.38 0.892438 46.6457 1.23172 24.9019 0.669313 23.4465
161 6.42 0.903792 47.4709 1.2216 25.46 0.668264 23.7513
162 6.46 0.912911 48.3148 1.20874 26.0191 0.668504 24.0601
163 6.5 0.922189 49.1779 1.19296 26.5777 0.670504 24.3737
164 6.54 0.930496 50.0595 1.1725 27.1336 0.675877 24.6936
165 6.58 0.937962 50.9591 1.14477 27.6829 0.690426 25.0245
166 6.62 0.944918 51.8765 1.11323 28.2237 0.705759 25.3668
167 6.66 0.951936 52.8118 1.07817 28.7537 0.731426 25.7259
168 6.7 0.96062 53.7671 1.04453 29.2734 0.762315 26.1047
169 6.74 0.971402 54.7446 1.01112 29.7825 0.791984 26.5029
170 6.78 0.986185 55.7488 0.976231 30.2799 0.825026 26.9227
171 6.82 1.00349 56.7828 0.941306 30.7652 0.855904 27.3633
172 6.86 1.02244 57.8487 0.905475 31.2375 0.886012 27.8248
173 6.9 1.04432 58.9501 0.872135 31.6977 0.921266 28.3103
174 6.94 1.06535 60.0867 0.843212 32.1479 0.952038 28.8178
175 6.98 1.08941 61.2625 0.818622 32.5899 0.98394 29.3484
176 7.02 1.11187 62.4763 0.800476 33.0272 1.01189 29.9003
177 7.06 1.13457 63.729 0.785558 33.4611 1.04383 30.4762
178 7.1 1.15344 65.017 0.777216 33.8954 1.07207 31.0744
179 7.14 1.16632 66.3342 0.771938 34.3316 1.10028 31.6952
180 7.18 1.17623 67.6774 0.77071 34.772 1.12229 32.3356
181 7.22 1.18036 69.0404 0.775121 35.2198 1.1419 32.9944
182 7.26 1.18083 70.4192 0.781561 35.6764 1.16206 33.6724
183 7.3 1.17504 71.8063 0.791768 36.1441 1.18235 34.3698
184 7.34 1.16825 73.2005 0.804709 36.6246 1.19905 35.0848
185 7.38 1.15759 74.5972 0.815845 37.1171 1.20932 35.8138
186 7.42 1.14408 75.9925 0.829509 37.6233 1.21235 36.5526
187 7.46 1.13074 77.3865 0.84312 38.1433 1.20844 37.2969
188 7.5 1.11768 78.7792 0.854445 38.6761 1.20088 38.0446
189 7.54 1.10379 80.1693 0.86892 39.2236 1.19015 38.7935
190 7.58 1.09001 81.5566 0.882826 39.7858 1.17814 39.5428
191 7.62 1.07311 82.9369 0.897129 40.3632 1.17119 40.2955
192 7.66 1.05364 84.3064 0.911714 40.9561 1.16256 41.0505
193 7.7 1.03438 85.665 0.927797 41.5658 1.15868 41.8108
194 7.74 1.01229 87.0084 0.943355 42.1922 1.15441 42.5763
195 7.78 0.990724 88.3368 0.958082 42.8349 1.1496 43.3465
196 7.82 0.968781 89.6491 0.973096 43.4945 1.14094 44.1187
197 7.86 0.94832 90.947 0.985777 44.1695 1.12868 44.8905
198 7.9 0.931916 92.2353 0.997028 44.8592 1.11046 45.6576
199 7.94 0.918742 93.5184 1.00781 45.5634 1.09114 46.419
200 7.98 0.909414 94.8013 1.01809 46.282 1.07393 47.1759
