# frames 151  rho0 0.066151  RMAX 15.0  Lorch window
# q(1/A)  S_N(q)
5.000000000000000000e-01 2.633021788960759890e-01
5.200000000000000178e-01 2.678686714547047210e-01
5.400000000000000355e-01 2.716415790110854322e-01
5.600000000000000533e-01 2.746919743666593750e-01
5.800000000000000711e-01 2.771231067267168058e-01
6.000000000000000888e-01 2.790652603201553283e-01
6.200000000000001066e-01 2.806694186285642045e-01
6.400000000000001243e-01 2.821001435147839631e-01
6.600000000000001421e-01 2.835281229539921011e-01
6.800000000000001599e-01 2.851228557200711222e-01
7.000000000000001776e-01 2.870459254175176111e-01
7.200000000000001954e-01 2.894452708256688434e-01
7.400000000000002132e-01 2.924507877036444103e-01
7.600000000000002309e-01 2.961715037621697189e-01
7.800000000000002487e-01 3.006944595980893808e-01
8.000000000000002665e-01 3.060853111409429506e-01
8.200000000000002842e-01 3.123905512182499900e-01
8.400000000000003020e-01 3.196411368566273170e-01
8.600000000000003197e-01 3.278572120647968990e-01
8.800000000000003375e-01 3.370535393149385328e-01
9.000000000000003553e-01 3.472452016393740015e-01
9.200000000000003730e-01 3.584531144426489346e-01
9.400000000000003908e-01 3.707088932185346186e-01
9.600000000000004086e-01 3.840586598796970064e-01
9.800000000000004263e-01 3.985654340267414941e-01
1.000000000000000444e+00 4.143098421927994268e-01
1.020000000000000462e+00 4.313889824813227358e-01
1.040000000000000480e+00 4.499133976005693647e-01
1.060000000000000497e+00 4.700022289914332907e-01
1.080000000000000515e+00 4.917767412715629005e-01
1.100000000000000533e+00 5.153525125814359953e-01
1.120000000000000551e+00 5.408306763252721527e-01
1.140000000000000568e+00 5.682886680379038991e-01
1.160000000000000586e+00 5.977709738395857730e-01
1.180000000000000604e+00 6.292803919035661053e-01
1.200000000000000622e+00 6.627703049716624495e-01
1.220000000000000639e+00 6.981384212933052780e-01
1.240000000000000657e+00 7.352223760695439925e-01
1.260000000000000675e+00 7.737974995385827892e-01
1.280000000000000693e+00 8.135769562916014275e-01
1.300000000000000711e+00 8.542143490313411913e-01
1.320000000000000728e+00 8.953087649126310055e-01
1.340000000000000746e+00 9.364121299461466430e-01
1.360000000000000764e+00 9.770386324405839762e-01
1.380000000000000782e+00 1.016675885147767966e+00
1.400000000000000799e+00 1.054797421754363862e+00
1.420000000000000817e+00 1.090876069594113318e+00
1.440000000000000835e+00 1.124397708662284501e+00
1.460000000000000853e+00 1.154874917672046530e+00
1.480000000000000870e+00 1.181860020280998125e+00
1.500000000000000888e+00 1.204957076954404460e+00
1.520000000000000906e+00 1.223832417566213637e+00
1.540000000000000924e+00 1.238223373471321054e+00
1.560000000000000941e+00 1.247944941718321488e+00
1.580000000000000959e+00 1.252894194471178446e+00
1.600000000000000977e+00 1.253052329819214883e+00
1.620000000000000995e+00 1.248484342516372303e+00
1.640000000000001013e+00 1.239336371789510283e+00
1.660000000000001030e+00 1.225830855731954605e+00
1.680000000000001048e+00 1.208259686097008512e+00
1.700000000000001066e+00 1.186975612272490377e+00
1.720000000000001084e+00 1.162382188148510354e+00
1.740000000000001101e+00 1.134922590247432916e+00
1.760000000000001119e+00 1.105067659979420025e+00
1.780000000000001137e+00 1.073303537559521237e+00
1.800000000000001155e+00 1.040119260421858094e+00
1.820000000000001172e+00 1.005994695347314449e+00
1.840000000000001190e+00 9.713891613673644176e-01
1.860000000000001208e+00 9.367310800919209646e-01
1.880000000000001226e+00 9.024089615954701271e-01
1.900000000000001243e+00 8.687639974715097857e-01
1.920000000000001261e+00 8.360844882166833525e-01
1.940000000000001279e+00 8.046022799148997429e-01
1.960000000000001297e+00 7.744913256479765140e-01
