# Time-averaged data for fix rdfavg
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7]
3000 200
1 0.02 0 0 0 0 0 0
2 0.06 0 0 0 0 0 0
3 0.1 0 0 0 0 0 0
4 0.14 0 0 0 0 0 0
5 0.18 0 0 0 0 0 0
6 0.22 0 0 0 0 0 0
7 0.26 0 0 0 0 0 0
8 0.3 0 0 0 0 0 0
9 0.34 0 0 0 0 0 0
10 0.38 0 0 0 0 0 0
11 0.42 0 0 0 0 0 0
12 0.46 0 0 0 0 0 0
13 0.5 0 0 0 0 0 0
14 0.54 0 0 0 0 0 0
15 0.58 0 0 0 0 0 0
16 0.62 0 0 0 0 0 0
17 0.66 0 0 0 0 0 0
18 0.7 0 0 0 0 0 0
19 0.74 0 0 0 0 0 0
20 0.78 0 0 0 0 0 0
21 0.82 0 0 0 0 0 0
22 0.86 0 0 0 0 0 0
23 0.9 0 0 0 0 0 0
24 0.94 0 0 0 0 0 0
25 0.98 0 0 0 0 0 0
26 1.02 0 0 0 0 0 0
27 1.06 0 0 0 0 0 0
28 1.1 0 0 0 0 0 0
29 1.14 0 0 0 0 0 0
30 1.18 0 0 0 0 0 0
31 1.22 0 0 0 0 0 0
32 1.26 0 0 0 0 0 0
33 1.3 0 0 0 0 0 0
34 1.34 0 0 0 0 0 0
35 1.38 0 0 0 0 0 0
36 1.42 0 0 0 0 0 0
37 1.46 0 0 0 0 0 0
38 1.5 0 0 0.00361982 9.02778e-05 0 0
39 1.54 0 0 0.609091 0.0161019 0 0
40 1.58 0 0 9.76114 0.286201 0 0
41 1.62 0 0 28.4845 1.11481 0 0
42 1.66 0 0 21.7694 1.77972 0 0
43 1.7 0 0 5.88714 1.96831 0 0
44 1.74 0 0 0.78249 1.99457 0 0
45 1.78 0 0 0.11225 1.99851 0 0
46 1.82 0 0 0.0378917 1.9999 0 0
47 1.86 0 0 0.0149102 2.00047 0 0
48 1.9 0 0 0.00451234 2.00066 0 0
49 1.94 0 0 0.000943323 2.00069 0 0
50 1.98 0 0 0 2.00069 0 0
51 2.02 0 0 0 2.00069 0 0
52 2.06 0 0 0 2.00069 0 0
53 2.1 0 0 0 2.00069 0 0
54 2.14 9.12687e-05 9.25926e-06 0 2.00069 0 0
55 2.18 8.79502e-05 1.85185e-05 0 2.00069 0 0
56 2.22 0.000254428 4.62963e-05 0 2.00069 0.000678947 3.7037e-05
57 2.26 0.00257777 0.000337963 0 2.00069 0.00147404 0.00012037
58 2.3 0.00715062 0.00117593 0 2.00069 0.00664166 0.000509259
59 2.34 0.0171752 0.00325926 0 2.00069 0.0157358 0.00146296
60 2.38 0.0509151 0.00964815 0 2.00069 0.0150636 0.00240741
61 2.42 0.181461 0.0331898 0 2.00069 0.00457091 0.0027037
62 2.46 0.578762 0.110778 0.000138042 2.0007 0.000967636 0.00276852
63 2.5 1.45647 0.312431 0.000568054 2.00074 0.000133846 0.00277778
64 2.54 2.87964 0.723986 0.00152143 2.00085 0.000129663 0.00278704
65 2.58 4.65167 1.4099 0.00163149 2.00097 0.00100539 0.00286111
66 2.62 6.09181 2.33625 0.00307284 2.00121 0.0060933 0.00332407
67 2.66 6.54315 3.36183 0.00433886 2.00155 0.0241186 0.00521296
68 2.7 5.87283 4.31025 0.00813604 2.0022 0.0532447 0.00950926
69 2.74 4.44791 5.04999 0.0113496 2.00315 0.117665 0.019287
70 2.78 2.87494 5.54219 0.0185378 2.00474 0.252313 0.0408704
71 2.82 1.66003 5.83463 0.0262881 2.00705 0.496092 0.084537
72 2.86 0.882603 5.99455 0.0369198 2.0104 0.924432 0.168231
73 2.9 0.486889 6.08526 0.0514041 2.01519 1.47374 0.305417
74 2.94 0.321793 6.14688 0.0660341 2.02152 2.11013 0.507296
75 2.98 0.266709 6.19934 0.0874145 2.03012 2.85485 0.787907
76 3.02 0.265419 6.25297 0.114905 2.04174 3.56698 1.14799
77 3.06 0.282921 6.31165 0.147429 2.05704 4.24087 1.58752
78 3.1 0.306809 6.37697 0.193785 2.07768 4.74992 2.09276
79 3.14 0.339188 6.45105 0.242003 2.10413 4.99859 2.63826
80 3.18 0.363755 6.53254 0.303404 2.13813 4.801 3.17563
81 3.22 0.391479 6.62245 0.370299 2.18069 3.76898 3.60817
82 3.26 0.41721 6.72068 0.439971 2.23252 2.15622 3.86181
83 3.3 0.440415 6.82692 0.517453 2.29497 0.880867 3.96798
84 3.34 0.462396 6.94119 0.601416 2.36934 0.240489 3.99768
85 3.38 0.480365 7.06276 0.689638 2.45666 0.0538931 4.00449
86 3.42 0.50125 7.19263 0.792982 2.55947 0.00908323 4.00567
87 3.46 0.518968 7.33026 0.88082 2.67634 0.00510105 4.00634
88 3.5 0.536842 7.47594 0.994225 2.81134 0.0096288 4.00765
89 3.54 0.548143 7.62811 1.10066 2.96422 0.0126834 4.00941
90 3.58 0.55659 7.78613 1.19965 3.13463 0.0188634 4.01208
91 3.62 0.567866 7.95098 1.27557 3.31991 0.0247687 4.01568
92 3.66 0.59064 8.12625 1.35706 3.5214 0.0353463 4.02092
93 3.7 0.601845 8.30877 1.41631 3.7363 0.0466852 4.02799
94 3.74 0.618759 8.5005 1.4751 3.965 0.0668634 4.03834
95 3.78 0.630027 8.69991 1.53048 4.20738 0.0919777 4.05289
96 3.82 0.645675 8.90863 1.58887 4.46436 0.131452 4.07412
97 3.86 0.66569 9.12835 1.65336 4.73741 0.168998 4.10199
98 3.9 0.685041 9.35916 1.70305 5.02452 0.227094 4.14022
99 3.94 0.700685 9.60012 1.76013 5.32737 0.275156 4.1875
100 3.98 0.712294 9.85006 1.82728 5.64819 0.342954 4.24763
101 4.02 0.721895 10.1085 1.89817 5.98818 0.401802 4.3195
102 4.06 0.739957 10.3787 1.96399 6.34701 0.48096 4.40725
103 4.1 0.75672 10.6605 2.06516 6.73178 0.548359 4.50928
104 4.14 0.761507 10.9496 2.144 7.13909 0.632159 4.6292
105 4.18 0.772839 11.2487 2.16906 7.55915 0.708693 4.76626
106 4.22 0.792608 11.5614 2.07554 7.96883 0.768556 4.91775
107 4.26 0.817167 11.8899 1.88701 8.34839 0.805543 5.07956
108 4.3 0.836238 12.2324 1.63956 8.6844 0.84813 5.25313
109 4.34 0.859718 12.5912 1.35453 8.96719 0.884532 5.43754
110 4.38 0.883686 12.9667 1.08811 9.19856 0.9305 5.63512
111 4.42 0.902253 13.3572 0.893245 9.39198 0.954585 5.84154
112 4.46 0.939084 13.771 0.77309 9.56243 0.994314 6.06045
113 4.5 0.975491 14.2086 0.702983 9.72021 1.04186 6.29397
114 4.54 1.01605 14.6725 0.660992 9.87122 1.10874 6.54692
115 4.58 1.07088 15.1701 0.653848 10.0232 1.16383 6.81713
116 4.62 1.1093 15.6946 0.652575 10.1776 1.20177 7.10105
117 4.66 1.16209 16.2536 0.661145 10.3368 1.25377 7.4024
118 4.7 1.22347 16.8523 0.666277 10.4999 1.30034 7.72033
119 4.74 1.2864 17.4926 0.670519 10.6669 1.32246 8.0492
120 4.78 1.35208 18.1769 0.679224 10.8389 1.34674 8.38979
121 4.82 1.42515 18.9104 0.679594 11.0139 1.37485 8.74332
122 4.86 1.48052 19.685 0.682 11.1924 1.39223 9.1073
123 4.9 1.54251 20.5054 0.685811 11.3749 1.44398 9.49104
124 4.94 1.59978 21.3703 0.697736 11.5637 1.48431 9.89196
125 4.98 1.63111 22.2664 0.706514 11.7579 1.53069 10.3121
126 5.02 1.67093 23.1992 0.716648 11.958 1.52751 10.7382
127 5.06 1.68668 24.1558 0.728985 12.1649 1.53848 11.1742
128 5.1 1.69304 25.1313 0.739885 12.3782 1.53409 11.6158
129 5.14 1.66952 26.1084 0.756485 12.5997 1.50983 12.0574
130 5.18 1.6071 27.0636 0.761682 12.8263 1.48212 12.4975
131 5.22 1.50867 27.9743 0.778267 13.0613 1.45835 12.9374
132 5.26 1.39513 28.8294 0.790766 13.3038 1.41582 13.3709
133 5.3 1.28057 29.6262 0.808525 13.5555 1.36719 13.796
134 5.34 1.15704 30.3571 0.822458 13.8155 1.33892 14.2186
135 5.38 1.04095 31.0245 0.838667 14.0845 1.29885 14.6347
136 5.42 0.946378 31.6404 0.853321 14.3624 1.27249 15.0485
137 5.46 0.868452 32.2139 0.876963 14.6521 1.26026 15.4643
138 5.5 0.816458 32.761 0.901888 14.9545 1.25411 15.8842
139 5.54 0.776676 33.2891 0.924513 15.269 1.24991 16.3088
140 5.58 0.750298 33.8066 0.951806 15.5975 1.21999 16.7293
141 5.62 0.736565 34.3219 0.984506 15.9422 1.20173 17.1494
142 5.66 0.732323 34.8416 1.01579 16.3028 1.16995 17.5642
143 5.7 0.730579 35.3674 1.04578 16.6794 1.13201 17.9713
144 5.74 0.736658 35.9051 1.07879 17.0734 1.10016 18.3725
145 5.78 0.745502 36.4568 1.09404 17.4785 1.05582 18.7629
146 5.82 0.752627 37.0215 1.11491 17.8971 1.00663 19.1403
147 5.86 0.76706 37.605 1.12773 18.3263 0.943213 19.4988
148 5.9 0.776285 38.2036 1.13405 18.7639 0.893722 19.8431
149 5.94 0.786307 38.8182 1.14459 19.2115 0.84116 20.1716
150 5.98 0.795564 39.4484 1.15212 19.6681 0.785544 20.4826
151 6.02 0.798331 40.0894 1.17128 20.1386 0.757042 20.7862
152 6.06 0.806937 40.7458 1.18894 20.6226 0.723254 21.0802
153 6.1 0.815334 41.4179 1.2047 21.1194 0.71353 21.3741
154 6.14 0.822324 42.1046 1.22053 21.6294 0.698427 21.6655
155 6.18 0.838894 42.8144 1.23809 22.1535 0.678442 21.9523
156 6.22 0.852674 43.5451 1.2445 22.6872 0.677896 22.2426
157 6.26 0.866147 44.297 1.24967 23.23 0.684737 22.5396
158 6.3 0.869538 45.0615 1.2519 23.7807 0.686777 22.8413
159 6.34 0.8805 45.8455 1.24104 24.3336 0.684382 23.1458
160 6.38 0.886812 46.6452 1.23035 24.8887 0.681602 23.4529
161 6.42 0.891262 47.4589 1.22229 25.4471 0.68854 23.767
162 6.46 0.893179 48.2846 1.20464 26.0043 0.686074 24.0839
163 6.5 0.906923 49.1334 1.18609 26.5597 0.693892 24.4084
164 6.54 0.915868 50.0012 1.16225 27.1107 0.700979 24.7402
165 6.58 0.924436 50.8878 1.13985 27.6577 0.707514 25.0793
166 6.62 0.936189 51.7967 1.10969 28.1967 0.728788 25.4328
167 6.66 0.949191 52.7293 1.08573 28.7305 0.739523 25.7959
168 6.7 0.963302 53.6873 1.05037 29.2531 0.761431 26.1742
169 6.74 0.978861 54.6723 1.02505 29.7692 0.796819 26.5748
170 6.78 0.991069 55.6815 0.987745 30.2725 0.827772 26.996
171 6.82 1.00853 56.7206 0.958834 30.7668 0.864026 27.4408
172 6.86 1.03086 57.7953 0.916673 31.2449 0.900038 27.9096
173 6.9 1.04883 58.9015 0.884621 31.7117 0.931996 28.4008
174 6.94 1.0653 60.0381 0.851505 32.1663 0.966113 28.9158
175 6.98 1.08736 61.2116 0.820409 32.6093 0.991353 29.4504
176 7.02 1.11152 62.425 0.799521 33.046 1.02168 30.0076
177 7.06 1.1295 63.6721 0.780465 33.4772 1.04855 30.5861
178 7.1 1.14218 64.9476 0.776899 33.9113 1.06435 31.18
179 7.14 1.16065 66.2583 0.767809 34.3451 1.0873 31.7935
180 7.18 1.16596 67.5898 0.770868 34.7856 1.10476 32.4239
181 7.22 1.17096 68.942 0.773176 35.2323 1.11992 33.07
182 7.26 1.17638 70.3155 0.786587 35.6918 1.14521 33.7381
183 7.3 1.1732 71.7005 0.793185 36.1603 1.16263 34.4239
184 7.34 1.16942 73.0961 0.802961 36.6398 1.1902 35.1336
185 7.38 1.16609 74.503 0.821027 37.1355 1.18725 35.8494
186 7.42 1.15313 75.9094 0.831454 37.6428 1.19702 36.5788
187 7.46 1.13975 77.3145 0.849326 38.1667 1.18336 37.3077
188 7.5 1.12603 78.7176 0.862226 38.7043 1.17294 38.038
189 7.54 1.11682 80.1241 0.871382 39.2534 1.15976 38.7678
190 7.58 1.10174 81.5263 0.883095 39.8158 1.15865 39.5046
191 7.62 1.08246 82.9187 0.895782 40.3923 1.13734 40.2356
192 7.66 1.06817 84.3071 0.909088 40.9835 1.14504 40.9792
193 7.7 1.05057 85.6869 0.927608 41.5931 1.14544 41.7309
194 7.74 1.028 87.0511 0.939025 42.2166 1.14265 42.4885
195 7.78 1.0023 88.395 0.946032 42.8512 1.13935 43.2519
196 7.82 0.983071 89.7268 0.961549 43.503 1.12914 44.0161
197 7.86 0.965263 91.0478 0.973006 44.1692 1.11488 44.7785
198 7.9 0.944967 92.3542 0.995213 44.8577 1.10793 45.5438
199 7.94 0.928645 93.6511 1.00454 45.5596 1.0913 46.3053
200 7.98 0.913336 94.9395 1.02247 46.2813 1.06627 47.0569
