# T_set(K)  epa(eV/atom)  Press(bar)  MSD(A^2)
4000 -18.677681488782233998 -24893.518751591262117 8.2996288939715316957
3900 -18.700204350305988044 -25905.823989325086586 8.8219023998128047737
3800 -18.725014161399375467 -21301.409887554160377 9.1458918100482300417
3700 -18.746591643382480186 -22617.965950179124775 9.4699270596577811432
3600 -18.754027793676797842 -24449.648369215075945 9.7125191203348038016
3500 -18.773582321991440836 -23025.572254248720128 9.9775756561453903259
3400 -18.784930673673333246 -24625.001370686713926 10.265417097908244415
3300 -18.802737546325658968 -23576.383255222037405 10.433950923760466623
3200 -18.829453314949866183 -24230.266504468094354 10.563848964633502092
3100 -18.845108579471848032 -24336.73927519235076 10.727541893611627799
3000 -18.861989895629250213 -24096.596293881000747 10.721059024076401656
2900 -18.880699626995269824 -25656.560705100233463 10.649267130148720284
2800 -18.89836353663331181 -25495.703005700772337 10.706845012253419114
2700 -18.918835329056868488 -24699.678588645903801 10.721425993463874704
2600 -18.932165208893515285 -26805.736359832750168 10.717917676481892642
2500 -18.951585199293553785 -26537.998734501994477 10.749508227468387744
2400 -18.963714895878073463 -25065.120946259146876 10.720975901723326373
2300 -18.980065169520351276 -26874.580116697143239 10.757687405592253782
2200 -18.992463300827601813 -27666.510613136069878 10.748296209178560545
2100 -19.007562075783489774 -26835.121204809205665 10.744317904555042986
2000 -19.020760383492422818 -26668.953748126736173 10.729975978830891492
1900 -19.037697270133982386 -28544.552658148524642 10.755953045167570892
1800 -19.048599529514454787 -28909.47451446210107 10.747687005557166273
1700 -19.064530425730666252 -29615.96367621792524 10.761706945282956127
1600 -19.077089047813746703 -30005.275314301012259 10.754256567018231294
1500 -19.09224226609896391 -29855.34600241046428 10.743263283245628514
1400 -19.106537591330788217 -31227.706105122917506 10.737234231877886614
1300 -19.119595032813244018 -30503.532468236575369 10.752298081987019529
1200 -19.133794267105763254 -30454.478610726131592 10.75418886217244463
1100 -19.145709922298646433 -31341.806596796959639 10.720914659435115013
1000 -19.159898888768104541 -30923.806442009903549 10.730653160299388205
900 -19.173057289954005711 -31430.241620529635838 10.713967419170593587
800 -19.186778533091231935 -30879.411417656450794 10.719430242233194406
700 -19.200084209879072716 -31418.798461390066223 10.7075840979054
600 -19.213192362447802708 -31544.036208588728186 10.700218110049920739
500 -19.226456679555415263 -31528.523795746499673 10.692223063487217516
400 -19.239623397883615752 -31680.468993143836997 10.700560275052314552
300 -19.25268935873646825 -31895.919021313533449 10.689637366147149322
