# T_set(K)  epa(eV/atom)  Press(bar)  MSD(A^2)
4000 -7.053360055938344253 19167.317805147187755 81.210765246489842184
3900 -7.0834160710822855478 16776.822422326727974 98.895999460336739162
3800 -7.1032561035467995936 16680.428211082438793 113.53936365286153887
3700 -7.1535232278265539207 15109.56671915672996 123.61296578037453742
3600 -7.1856663101067725918 15777.460813145009524 131.56588216427400084
3500 -7.2039457079351327806 16334.589971593064547 136.63088281189513395
3400 -7.2323361258435143739 15281.560159788685269 141.46854066216619117
3300 -7.2698987757046742431 15425.568251529881309 144.01938852598647145
3200 -7.3075259753346291092 14036.179033507809436 146.83800284309529616
3100 -7.3405505938672730437 12976.958036482177704 148.62476004511495375
3000 -7.3703629775267769375 12498.103882878405784 149.98066348356363164
2900 -7.3942515743682291074 12004.213147755286627 150.20119730577940231
2800 -7.4129547470341208282 9963.2192456395168847 150.8665049857002316
2700 -7.4397669756759396975 11681.407784331117 150.95144434540452494
2600 -7.4589624325455119447 13538.460201767193212 150.8119085907818544
2500 -7.4762092031604474585 13440.27384776913641 150.87792807844286358
2400 -7.4942447441146828879 12107.046056965005846 151.13562804413183471
2300 -7.5135624170945058964 12097.686416502134307 151.05896840266120762
2200 -7.5309982148903937826 11456.107138240840868 151.13180132268897182
2100 -7.5493272156010915452 12964.243168268683803 151.02012333923917708
2000 -7.5644035872201724757 13168.125258569707512 151.05978086745068367
1900 -7.5803782556630254774 13239.326789355498477 151.10022616988612754
1800 -7.5961778776433961369 13697.45367659499243 151.03533211960089488
1700 -7.6105658136366516331 12082.837032273060686 150.9996369862912502
1600 -7.6234482876200777568 11467.181229872348922 150.96871150717603882
1500 -7.6378609211075767504 11408.062678238702574 151.00494381701975044
1400 -7.6512816504397154205 11113.570552493420109 151.02031486056233689
1300 -7.6659173307697905386 10916.018709063217102 151.03126737125006684
1200 -7.6792013267088927719 10720.061725949009997 150.98794461780872211
1100 -7.6929537170812523073 10223.366314434153537 150.98213685651666083
1000 -7.706031148331152103 8993.0866753216014331 150.99106785425689736
900 -7.7195469865904433604 9909.4504161694039794 150.96342533460546065
800 -7.7325809840397816686 9345.8599884782379377 150.96779335226662511
700 -7.7464854625329806481 8930.2352298493515264 150.9371954699976186
600 -7.7592007551110357966 8753.2980068288197799 150.95290175835398827
500 -7.7726173259743696065 8729.6479524934748042 150.94717923229211465
400 -7.786122387471267281 8285.1639442195828451 150.92214996345489908
300 -7.7989211118400199041 7994.5967755994015533 150.9094692233843773
