# T_set(K)  epa(eV/atom)  Press(bar)  MSD(A^2)
4000 -18.681134378672091145 -26033.975374145382375 8.1714942355539612606
3900 -18.689078815927594235 -22699.183976519452699 8.5101922833357939169
3800 -18.710351182962948968 -23748.800208967375511 8.8162413764962366258
3700 -18.72005733195817001 -23969.225513122044504 8.9836910366513436088
3600 -18.745325626381749373 -21966.122406054560997 9.2721698826383391889
3500 -18.765092860742491609 -21687.267844586000137 9.4643845288948345029
3400 -18.789623509130173318 -18697.414398257416906 9.4456291368026601418
3300 -18.804031144977745527 -19283.476127757097856 9.5512046314267493585
3200 -18.827413575018084657 -18723.383819427413982 9.601092809728921651
3100 -18.847617437983000599 -20595.804152526801772 9.7383261516461718799
3000 -18.858424880797961976 -20646.762459306417441 9.7684263678353921989
2900 -18.87626340860234464 -20196.860002437362709 9.7525963155508872404
2800 -18.890047688190890085 -19439.544143456419988 9.8430536721432329017
2700 -18.908408228435661158 -20985.411199742364261 9.8472314098882911537
2600 -18.925622304353176162 -19320.932995984428999 9.8245985503782726767
2500 -18.941630538616053059 -22979.963264670808712 9.8976250423535336864
2400 -18.958892483472681079 -21855.031359836761112 9.8938368410232619965
2300 -18.973130147572277338 -21129.66088315052184 9.9179010217834004948
2200 -18.987174936635877742 -23046.605666249412025 9.8844412505112408951
2100 -19.002245010846252171 -20751.014527361166984 9.8829675681778592633
2000 -19.01574201366599226 -20950.43893343371019 9.8427100190114789058
1900 -19.031240700256240928 -22382.057663962714287 9.8117504152198762313
1800 -19.045957199892079359 -21264.692430757037073 9.8285165457789798182
1700 -19.058697810230363245 -21607.488826405409782 9.8165792006804579728
1600 -19.073672802300979612 -21188.342130531840667 9.7624163936481824777
1500 -19.086873997496983435 -21701.674488494234538 9.7673906191351687056
1400 -19.09896220903814168 -22237.487987062369939 9.7577067818876361827
1300 -19.115846256450673479 -21395.878273123307736 9.7702525186034012705
1200 -19.130225108503683629 -22142.754928650370857 9.7423040525626749542
1100 -19.140866216580128878 -21903.560684609365126 9.7338824990468495457
1000 -19.155184641980945059 -21620.49169349726435 9.7492836744935367221
900 -19.168771153914942573 -21960.067763019131235 9.7310013055085242684
800 -19.182601734930287307 -21506.06790474231093 9.7253927342978183646
700 -19.19591053344374032 -22586.346673318439571 9.7147598153026706314
600 -19.209093513707475864 -22219.640550366180832 9.7188483379432692999
500 -19.221346254669590792 -22500.331711227219785 9.7137439315713560717
400 -19.235181985847368935 -22782.798443604300701 9.7019726282586127297
300 -19.247857693784105493 -23380.459698915688932 9.695915449186141899
