# T_set(K)  epa(eV/atom)  Press(bar)  MSD(A^2)
4000 -18.677571454938810547 -21797.141983216235531 9.666777580442099449
3900 -18.699334664291129116 -22002.304485545297212 10.964313310325648487
3800 -18.720326671618419567 -21544.760403235082777 12.173621251155033463
3700 -18.747968091033040849 -21508.728857112135302 13.042459971830020038
3600 -18.754011048481416424 -23190.869136883757164 13.70000214430915797
3500 -18.775504634236753532 -24563.367330490855238 14.511197766191555658
3400 -18.792643215654155853 -24077.966851050085097 15.220144292694444133
3300 -18.823622946644562148 -25752.47732147325587 15.541762726587545984
3200 -18.838050663755758762 -26042.842630351748085 15.613792915493515778
3100 -18.860136749294834857 -24702.666875982667989 15.677159524216733644
3000 -18.8802660464131975 -26031.88784195226981 15.790036326148555901
2900 -18.890143883820254445 -25706.490370238952892 15.88794636184623954
2800 -18.906131882233058406 -24494.814075527247041 15.902596247768860493
2700 -18.923418370799087285 -24894.358809003722854 15.937018805612328975
2600 -18.939122836889225709 -24571.822350642563833 16.041935426201057169
2500 -18.953574620348891955 -24103.452291822010011 16.104546703856659207
2400 -18.968653476551988746 -23212.956152892649698 16.106907746019594185
2300 -18.98445606345773129 -23143.304524902050616 16.123802245488331408
2200 -18.999411010954268875 -23671.3349718715981 16.123698739443433681
2100 -19.013459252020751933 -23131.321810438348621 16.157192817225471515
2000 -19.026163290192123156 -22874.401199680316495 16.147448950055920847
1900 -19.042217673089933072 -23439.250906327692064 16.106620150667254165
1800 -19.057514163977401722 -23063.999560039443168 16.086931413934212998
1700 -19.071178524068155724 -23985.754410062196257 16.085662064798643911
1600 -19.085464723900855688 -23245.618715383439849 16.100201632711659272
1500 -19.097409063581995525 -23696.907223578047706 16.132309085292494188
1400 -19.112353078651029392 -23299.664193562297442 16.125390690486064216
1300 -19.126578896168847876 -23867.007068907947541 16.106852693568701085
1200 -19.140541110397926161 -24142.545595114213938 16.101519796923199124
1100 -19.152868519922893853 -23484.9087375931922 16.086946573395159987
1000 -19.166217289885185693 -24375.415527367451432 16.082434416333835969
900 -19.180051188446274324 -24511.123961715187761 16.061122144348942697
800 -19.192876612964688832 -24302.848436113948992 16.06963997884409423
700 -19.206839969967646198 -24343.264849776514893 16.061284380734356603
600 -19.220472955409817928 -24649.864408352961618 16.055657309229189877
500 -19.233141202568280193 -24578.369049024189735 16.055322353961134496
400 -19.246043149306974129 -24399.949545081039105 16.041387917284755105
300 -19.259196682074769313 -24567.152560006314161 16.038193561977262647
