# Time-averaged data for fix rdfavg
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7]
5000 200
1 0.02 0 0 0 0 0 0
2 0.06 0 0 0 0 0 0
3 0.1 0 0 0 0 0 0
4 0.14 0 0 0 0 0 0
5 0.18 0 0 0 0 0 0
6 0.22 0 0 0 0 0 0
7 0.26 0 0 0 0 0 0
8 0.3 0 0 0 0 0 0
9 0.34 0 0 0 0 0 0
10 0.38 0 0 0 0 0 0
11 0.42 0 0 0 0 0 0
12 0.46 0 0 0 0 0 0
13 0.5 0 0 0 0 0 0
14 0.54 0 0 0 0 0 0
15 0.58 0 0 0 0 0 0
16 0.62 0 0 0 0 0 0
17 0.66 0 0 0 0 0 0
18 0.7 0 0 0 0 0 0
19 0.74 0 0 0 0 0 0
20 0.78 0 0 0 0 0 0
21 0.82 0 0 0 0 0 0
22 0.86 0 0 0 0 0 0
23 0.9 0 0 0 0 0 0
24 0.94 0 0 0 0 0 0
25 0.98 0 0 0 0 0 0
26 1.02 0 0 0 0 0 0
27 1.06 0 0 0 0 0 0
28 1.1 0 0 0 0 0 0
29 1.14 0 0 0 0 0 0
30 1.18 0 0 0 0 0 0
31 1.22 0 0 0 0 0 0
32 1.26 0 0 0 0 0 0
33 1.3 0 0 0 0 0 0
34 1.34 0 0 0 0 0 0
35 1.38 0 0 0 0 0 0
36 1.42 0 0 0 0 0 0
37 1.46 0 0 0 0 0 0
38 1.5 0 0 0.00445516 0.000111111 0 0
39 1.54 0 0 0.651922 0.0172486 0 0
40 1.58 0 0 10.1912 0.299247 0 0
41 1.62 0 0 28.9549 1.14153 0 0
42 1.66 0 0 21.3679 1.79419 0 0
43 1.7 0 0 5.54203 1.97172 0 0
44 1.74 0 0 0.693605 1.995 0 0
45 1.78 0 0 0.0915138 1.99821 0 0
46 1.82 0 0 0.0281067 1.99925 0 0
47 1.86 0 0 0.0128578 1.99974 0 0
48 1.9 0 0 0.00413052 1.9999 0 0
49 1.94 0 0 0.00169798 1.99998 0 0
50 1.98 0 0 0.000351584 1.99999 0 0
51 2.02 0 0 0.000214962 2 0 0
52 2.06 0 0 0 2 0 0
53 2.1 0 0 0 2 0 0
54 2.14 0 0 0 2 0 0
55 2.18 0 0 0 2 0 0
56 2.22 0.0001781 1.94444e-05 0 2 0.000203684 1.11111e-05
57 2.26 0.00233227 0.000283333 0 2 0.00727191 0.000422222
58 2.3 0.0130607 0.00181389 2.36873e-05 2 0.0408936 0.00281667
59 2.34 0.0408083 0.00676389 0.000137306 2.00001 0.106515 0.00927222
60 2.38 0.0846298 0.0173833 0.000154851 2.00002 0.111028 0.0162333
61 2.42 0.216853 0.0455167 0.000256757 2.00004 0.0522798 0.0196222
62 2.46 0.614305 0.127869 0.000600482 2.00008 0.0292779 0.0215833
63 2.5 1.49057 0.334244 0.000942302 2.00014 0.0267424 0.0234333
64 2.54 2.93721 0.754028 0.00163149 2.00026 0.016571 0.0246167
65 2.58 4.6733 1.44313 0.00263549 2.00045 0.0051275 0.0249944
66 2.62 6.08945 2.36912 0.00407076 2.00076 0.00957867 0.0257222
67 2.66 6.52721 3.39221 0.00614525 2.00124 0.0391573 0.0287889
68 2.7 5.81167 4.33074 0.00902413 2.00197 0.124276 0.0388167
69 2.74 4.38201 5.05952 0.0137364 2.00312 0.332672 0.0664611
70 2.78 2.87185 5.55119 0.0202348 2.00485 0.672444 0.123983
71 2.82 1.6757 5.84639 0.0334365 2.0078 1.19239 0.228939
72 2.86 0.93679 6.01614 0.0467089 2.01203 1.8404 0.395561
73 2.9 0.551196 6.11883 0.071176 2.01867 2.60338 0.6379
74 2.94 0.386934 6.19291 0.10061 2.02831 3.23966 0.947844
75 2.98 0.339494 6.2597 0.141712 2.04225 3.72165 1.31366
76 3.02 0.334576 6.3273 0.194039 2.06187 3.9647 1.71389
77 3.06 0.346067 6.39908 0.255135 2.08835 4.15591 2.14461
78 3.1 0.366592 6.47712 0.330466 2.12355 4.19027 2.59032
79 3.14 0.383561 6.5609 0.411433 2.16851 4.01251 3.02821
80 3.18 0.403733 6.65134 0.500217 2.22458 3.53086 3.42342
81 3.22 0.426418 6.74928 0.57933 2.29116 2.60814 3.72273
82 3.26 0.442011 6.85334 0.649599 2.36767 1.42592 3.89047
83 3.3 0.458466 6.96394 0.708084 2.45314 0.559401 3.95789
84 3.34 0.467188 7.07939 0.759924 2.54711 0.155317 3.97707
85 3.38 0.481562 7.20127 0.82535 2.65162 0.0385306 3.98194
86 3.42 0.495664 7.32969 0.891552 2.7672 0.010857 3.98335
87 3.46 0.505659 7.46379 0.969364 2.89582 0.0072952 3.98432
88 3.5 0.51555 7.6037 1.05536 3.03912 0.00909614 3.98555
89 3.54 0.526159 7.74976 1.13138 3.19627 0.0119358 3.98721
90 3.58 0.535973 7.90193 1.20229 3.36706 0.0191898 3.98993
91 3.62 0.550441 8.06172 1.26231 3.55041 0.0322504 3.99461
92 3.66 0.563197 8.22884 1.32827 3.74762 0.0459377 4.00142
93 3.7 0.578354 8.40424 1.36561 3.95483 0.0714211 4.01224
94 3.74 0.602016 8.59078 1.39877 4.17169 0.0974244 4.02732
95 3.78 0.609772 8.78378 1.42976 4.39813 0.13008 4.04789
96 3.82 0.630015 8.98744 1.48279 4.63795 0.168337 4.07508
97 3.86 0.644016 9.2 1.52999 4.89062 0.200204 4.1081
98 3.9 0.655474 9.42086 1.59371 5.1593 0.236972 4.14799
99 3.94 0.678606 9.65422 1.65632 5.44429 0.280394 4.19617
100 3.98 0.696137 9.89849 1.73661 5.74919 0.33442 4.25481
101 4.02 0.711388 10.1532 1.79607 6.0709 0.410167 4.32817
102 4.06 0.721327 10.4166 1.90437 6.41883 0.476697 4.41514
103 4.1 0.733951 10.6899 2.00973 6.79328 0.542118 4.51601
104 4.14 0.750507 10.9748 2.07342 7.18717 0.618522 4.63335
105 4.18 0.763117 11.2702 2.07019 7.58809 0.694301 4.76762
106 4.22 0.781166 11.5783 1.97345 7.97762 0.756004 4.91664
107 4.26 0.801583 11.9006 1.77558 8.33476 0.826037 5.08256
108 4.3 0.826013 12.2389 1.49956 8.64208 0.873068 5.26124
109 4.34 0.849696 12.5935 1.21836 8.89644 0.935553 5.45628
110 4.38 0.875158 12.9654 0.976799 9.10414 0.976443 5.66362
111 4.42 0.904615 13.3569 0.798058 9.27695 1.03382 5.88717
112 4.46 0.938685 13.7705 0.687771 9.42859 1.06272 6.12115
113 4.5 0.978409 14.2094 0.62417 9.56868 1.08516 6.36437
114 4.54 1.02791 14.6787 0.602945 9.70643 1.12028 6.61995
115 4.58 1.08008 15.1806 0.604383 9.84695 1.1404 6.88472
116 4.62 1.13835 15.7189 0.607836 9.99075 1.16687 7.16039
117 4.66 1.18914 16.2909 0.616465 10.1391 1.19637 7.44795
118 4.7 1.24037 16.8979 0.630227 10.2934 1.22351 7.7471
119 4.74 1.29633 17.5431 0.635882 10.4518 1.2456 8.05686
120 4.78 1.35039 18.2265 0.647106 10.6157 1.27119 8.37833
121 4.82 1.40697 18.9506 0.659398 10.7855 1.29693 8.71183
122 4.86 1.46762 19.7185 0.668844 10.9606 1.34006 9.06217
123 4.9 1.51647 20.5251 0.684607 11.1427 1.34455 9.41948
124 4.94 1.56813 21.3728 0.689781 11.3293 1.38572 9.79378
125 4.98 1.59662 22.25 0.7018 11.5222 1.40801 10.1803
126 5.02 1.61725 23.1528 0.718566 11.7229 1.41359 10.5746
127 5.06 1.62439 24.0741 0.729851 11.9301 1.41581 10.9758
128 5.1 1.61222 25.003 0.744039 12.1446 1.41075 11.3819
129 5.14 1.57537 25.925 0.765145 12.3686 1.40451 11.7926
130 5.18 1.51581 26.826 0.786433 12.6025 1.37473 12.2009
131 5.22 1.44337 27.6973 0.799228 12.8439 1.34637 12.607
132 5.26 1.34098 28.5191 0.816218 13.0942 1.31981 13.0112
133 5.3 1.22998 29.2845 0.831129 13.353 1.2978 13.4147
134 5.34 1.11929 29.9915 0.852768 13.6225 1.2813 13.8191
135 5.38 1.01822 30.6444 0.877673 13.904 1.26143 14.2232
136 5.42 0.935534 31.2532 0.901839 14.1977 1.26113 14.6332
137 5.46 0.86042 31.8214 0.918484 14.5012 1.26523 15.0507
138 5.5 0.809307 32.3637 0.943726 14.8176 1.26822 15.4754
139 5.54 0.773615 32.8897 0.967791 15.1468 1.24841 15.8994
140 5.58 0.756144 33.4113 0.99776 15.4912 1.24647 16.329
141 5.62 0.751406 33.937 1.02709 15.8507 1.21494 16.7537
142 5.66 0.743339 34.4645 1.04886 16.2231 1.20168 17.1798
143 5.7 0.747104 35.0022 1.07694 16.611 1.1624 17.5979
144 5.74 0.750444 35.5499 1.10222 17.0135 1.11682 18.0051
145 5.78 0.758691 36.1114 1.1159 17.4267 1.05649 18.3958
146 5.82 0.769962 36.6891 1.13475 17.8527 1.00517 18.7726
147 5.86 0.779418 37.282 1.14779 18.2896 0.934882 19.128
148 5.9 0.785863 37.888 1.15728 18.7361 0.877477 19.4661
149 5.94 0.793567 38.5083 1.17943 19.1973 0.818669 19.7858
150 5.98 0.806782 39.1474 1.18439 19.6668 0.776776 20.0932
151 6.02 0.815037 39.8017 1.19538 20.1469 0.74761 20.3931
152 6.06 0.82606 40.4737 1.20866 20.6389 0.729108 20.6895
153 6.1 0.834919 41.1619 1.22349 21.1435 0.716043 20.9844
154 6.14 0.841864 41.865 1.22934 21.6572 0.724066 21.2865
155 6.18 0.848321 42.5827 1.23427 22.1797 0.730691 21.5954
156 6.22 0.860723 43.3204 1.23245 22.7082 0.745856 21.9148
157 6.26 0.866769 44.0728 1.231 23.2428 0.758462 22.2438
158 6.3 0.87701 44.8439 1.22527 23.7819 0.774786 22.5841
159 6.34 0.885164 45.6321 1.21017 24.321 0.780313 22.9313
160 6.38 0.895276 46.4393 1.19151 24.8586 0.786207 23.2855
161 6.42 0.904155 47.2648 1.17663 25.3961 0.789934 23.6459
162 6.46 0.918642 48.1141 1.16884 25.9367 0.790008 24.0108
163 6.5 0.925451 48.9802 1.15025 26.4754 0.783629 24.3772
164 6.54 0.935907 49.867 1.13357 27.0128 0.795243 24.7537
165 6.58 0.947281 50.7755 1.11211 27.5465 0.803457 25.1387
166 6.62 0.968547 51.7158 1.08567 28.0738 0.813889 25.5335
167 6.66 0.982781 52.6815 1.05945 28.5947 0.834435 25.9432
168 6.7 1.00287 53.6787 1.03074 29.1075 0.865269 26.3731
169 6.74 1.02157 54.7067 1.00081 29.6114 0.883469 26.8173
170 6.78 1.03517 55.7609 0.969908 30.1056 0.911641 27.2812
171 6.82 1.05287 56.8457 0.939021 30.5897 0.926695 27.7582
172 6.86 1.06424 57.9551 0.910406 31.0646 0.943949 28.2499
173 6.9 1.07947 59.0936 0.876198 31.5269 0.961544 28.7566
174 6.94 1.0946 60.2615 0.851547 31.9815 0.986029 29.2823
175 6.98 1.11028 61.4597 0.830568 32.43 1.0147 29.8295
176 7.02 1.11947 62.6818 0.814976 32.8752 1.04141 30.3975
177 7.06 1.12518 63.9242 0.80618 33.3206 1.06728 30.9863
178 7.1 1.13828 65.1953 0.802757 33.7691 1.08696 31.5928
179 7.14 1.14628 66.4898 0.802496 34.2225 1.10986 32.219
180 7.18 1.15087 67.8041 0.80946 34.6851 1.12266 32.8596
181 7.22 1.15714 69.1403 0.817292 35.1573 1.13602 33.5151
182 7.26 1.16011 70.4948 0.827164 35.6405 1.13536 34.1774
183 7.3 1.15928 71.8633 0.835 36.1337 1.13482 34.8468
184 7.34 1.16098 73.2489 0.849604 36.641 1.13492 35.5235
185 7.38 1.15255 74.6395 0.858015 37.159 1.12747 36.2032
186 7.42 1.15008 76.0421 0.87388 37.6923 1.13894 36.8973
187 7.46 1.14133 77.4492 0.884868 38.2381 1.1354 37.5967
188 7.5 1.12848 78.8553 0.900361 38.7994 1.13443 38.3029
189 7.54 1.11603 80.2608 0.91324 39.3749 1.1258 39.0114
190 7.58 1.09805 81.6584 0.926691 39.965 1.12455 39.7265
191 7.62 1.07567 83.042 0.936402 40.5677 1.12431 40.4491
192 7.66 1.05193 84.4093 0.94477 41.1821 1.12376 41.1789
193 7.7 1.03121 85.7636 0.953887 41.8089 1.11926 41.9134
194 7.74 1.00635 87.0992 0.962705 42.4482 1.11196 42.6507
195 7.78 0.988637 88.4247 0.970368 43.0992 1.09953 43.3874
196 7.82 0.962926 89.7292 0.977478 43.7617 1.08926 44.1246
197 7.86 0.940781 91.0167 0.991467 44.4406 1.07107 44.857
198 7.9 0.926688 92.2978 1.00448 45.1355 1.05399 45.5851
199 7.94 0.910673 93.5696 1.01596 45.8454 1.03982 46.3107
200 7.98 0.898886 94.8377 1.0283 46.5712 1.02637 47.0341
