# Time-averaged data for fix rdfavg
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7]
5000 200
1 0.02 0 0 0 0 0 0
2 0.06 0 0 0 0 0 0
3 0.1 0 0 0 0 0 0
4 0.14 0 0 0 0 0 0
5 0.18 0 0 0 0 0 0
6 0.22 0 0 0 0 0 0
7 0.26 0 0 0 0 0 0
8 0.3 0 0 0 0 0 0
9 0.34 0 0 0 0 0 0
10 0.38 0 0 0 0 0 0
11 0.42 0 0 0 0 0 0
12 0.46 0 0 0 0 0 0
13 0.5 0 0 0 0 0 0
14 0.54 0 0 0 0 0 0
15 0.58 0 0 0 0 0 0
16 0.62 0 0 0 0 0 0
17 0.66 0 0 0 0 0 0
18 0.7 0 0 0 0 0 0
19 0.74 0 0 0 0 0 0
20 0.78 0 0 0 0 0 0
21 0.82 0 0 0 0 0 0
22 0.86 0 0 0 0 0 0
23 0.9 0 0 0 0 0 0
24 0.94 0 0 0 0 0 0
25 0.98 0 0 0 0 0 0
26 1.02 0 0 0 0 0 0
27 1.06 0 0 0 0 0 0
28 1.1 0 0 0 0 0 0
29 1.14 0 0 0 0 0 0
30 1.18 0 0 0 0 0 0
31 1.22 0 0 0 0 0 0
32 1.26 0 0 0 0 0 0
33 1.3 0 0 0 0 0 0
34 1.34 0 0 0 0 0 0
35 1.38 0 0 0 0 0 0
36 1.42 0 0 0 0 0 0
37 1.46 0 0 0.000117565 2.77778e-06 0 0
38 1.5 0 0 0.0707813 0.00176806 0 0
39 1.54 0 0 2.60182 0.0701639 0 0
40 1.58 0 0 19.0886 0.598364 0 0
41 1.62 0 0 30.5745 1.48776 0 0
42 1.66 0 0 13.766 1.90823 0 0
43 1.7 0 0 2.42693 1.98597 0 0
44 1.74 0 0 0.306429 1.99626 0 0
45 1.78 0 0 0.0771184 1.99896 0 0
46 1.82 0 0 0.036656 2.00031 0 0
47 1.86 0 0 0.0189426 2.00104 0 0
48 1.9 0 0 0.0114544 2.00149 0 0
49 1.94 0 0 0.00622593 2.00175 0 0
50 1.98 0 0 0.00303641 2.00189 0 0
51 2.02 0 0 0.00135119 2.00195 0 0
52 2.06 0.000177291 1.66667e-05 0.000856311 2.00199 0 0
53 2.1 0.00255902 0.000266667 0.000681932 2.00202 0 0
54 2.14 0.0093094 0.00121111 0.000766124 2.00206 0 0
55 2.18 0.015488 0.00284167 0.000290034 2.00207 0 0
56 2.22 0.00875233 0.00379722 0.000203401 2.00209 0 0
57 2.26 0.00819976 0.004725 2.45331e-05 2.00209 0 0
58 2.3 0.0257185 0.00773889 9.4749e-05 2.00209 0 0
59 2.34 0.100097 0.0198806 0.000274613 2.00211 0.00164997 0.0001
60 2.38 0.333981 0.0617889 0.000707892 2.00215 0.0115193 0.000822222
61 2.42 0.895205 0.177928 0.000791667 2.00221 0.027854 0.00262778
62 2.46 1.90903 0.43385 0.00188427 2.00233 0.0296097 0.00461111
63 2.5 3.30017 0.890769 0.00228558 2.00249 0.0115643 0.00541111
64 2.54 4.67261 1.55858 0.00359316 2.00275 0.00217834 0.00556667
65 2.58 5.54747 2.37658 0.00513921 2.00313 0.00248835 0.00575
66 2.62 5.66044 3.23733 0.00655337 2.00362 0.00760444 0.00632778
67 2.66 5.09738 4.03631 0.00802247 2.00425 0.0187274 0.00779444
68 2.7 4.10553 4.69931 0.00928196 2.005 0.0413794 0.0111333
69 2.74 2.97647 5.19434 0.0138866 2.00616 0.0652508 0.0165556
70 2.78 1.99172 5.53533 0.0195538 2.00783 0.119694 0.0267944
71 2.82 1.27201 5.75941 0.0253374 2.01007 0.239525 0.0478778
72 2.86 0.804828 5.90524 0.0340857 2.01316 0.503421 0.0934556
73 2.9 0.525491 6.00314 0.0481112 2.01764 0.962429 0.183044
74 2.94 0.365174 6.07306 0.0694264 2.02429 1.58371 0.334561
75 2.98 0.291019 6.13031 0.0969109 2.03383 2.30909 0.561528
76 3.02 0.268114 6.18448 0.127747 2.04675 3.14713 0.879228
77 3.06 0.275413 6.24161 0.168363 2.06422 4.01734 1.29559
78 3.1 0.295322 6.30448 0.209697 2.08656 4.89113 1.81585
79 3.14 0.325669 6.37561 0.265837 2.11561 5.63961 2.43131
80 3.18 0.367029 6.45783 0.32354 2.15187 5.78904 3.07927
81 3.22 0.398373 6.54933 0.379641 2.1955 4.49808 3.59548
82 3.26 0.430378 6.65065 0.434771 2.24672 2.37621 3.87499
83 3.3 0.449243 6.75903 0.489389 2.30579 0.849817 3.97743
84 3.34 0.473393 6.87601 0.561522 2.37522 0.221097 4.00473
85 3.38 0.49256 7.00067 0.647124 2.45716 0.059751 4.01228
86 3.42 0.508893 7.13253 0.744469 2.55367 0.0247178 4.01548
87 3.46 0.522334 7.27105 0.847182 2.66609 0.0161417 4.01762
88 3.5 0.536412 7.41661 0.966094 2.79726 0.0179055 4.02005
89 3.54 0.552516 7.56999 1.07828 2.94703 0.0251532 4.02354
90 3.58 0.568895 7.73151 1.18249 3.11501 0.0378705 4.02891
91 3.62 0.58753 7.90206 1.29776 3.30351 0.0591386 4.03749
92 3.66 0.603374 8.08111 1.40484 3.51209 0.0860676 4.05025
93 3.7 0.621422 8.26957 1.48735 3.73778 0.120221 4.06847
94 3.74 0.635167 8.46638 1.57632 3.98216 0.157781 4.09289
95 3.78 0.653837 8.67333 1.65465 4.24421 0.190712 4.12306
96 3.82 0.669131 8.88963 1.71064 4.52089 0.215769 4.15791
97 3.86 0.674835 9.11237 1.76343 4.81211 0.240696 4.1976
98 3.9 0.690875 9.34515 1.80849 5.117 0.261227 4.24158
99 3.94 0.700868 9.58616 1.83673 5.43303 0.303997 4.29381
100 3.98 0.720115 9.83885 1.87549 5.76231 0.355745 4.35618
101 4.02 0.740851 10.1041 1.92713 6.10749 0.418025 4.43096
102 4.06 0.757355 10.3806 1.98129 6.46948 0.493901 4.52107
103 4.1 0.779074 10.6707 2.02083 6.846 0.573291 4.62773
104 4.14 0.797483 10.9735 2.02662 7.231 0.640427 4.74923
105 4.18 0.809572 11.2869 1.99745 7.61783 0.712686 4.88706
106 4.22 0.826617 11.613 1.90767 7.99437 0.783203 5.04143
107 4.26 0.845094 11.9527 1.76936 8.35027 0.860997 5.21438
108 4.3 0.859854 12.3049 1.5741 8.67287 0.909824 5.40058
109 4.34 0.892516 12.6773 1.36335 8.95749 0.982161 5.60534
110 4.38 0.913415 13.0655 1.15954 9.20405 1.06001 5.83042
111 4.42 0.94475 13.4743 0.986337 9.41763 1.10198 6.06871
112 4.46 0.988568 13.9099 0.855427 9.60623 1.15725 6.3235
113 4.5 1.02555 14.37 0.7666 9.77829 1.18334 6.58873
114 4.54 1.06328 14.8555 0.716109 9.94189 1.19438 6.86121
115 4.58 1.10424 15.3686 0.690961 10.1025 1.2196 7.14437
116 4.62 1.15236 15.9134 0.675038 10.2622 1.23011 7.43498
117 4.66 1.19759 16.4895 0.668785 10.4232 1.25367 7.73631
118 4.7 1.24871 17.1006 0.668977 10.587 1.25637 8.04349
119 4.74 1.30917 17.7522 0.673261 10.7547 1.27457 8.36046
120 4.78 1.36344 18.4423 0.676382 10.926 1.27514 8.68293
121 4.82 1.43184 19.1792 0.678514 11.1007 1.27196 9.01001
122 4.86 1.48924 19.9584 0.682198 11.2793 1.28071 9.34483
123 4.9 1.54679 20.7811 0.680286 11.4603 1.28488 9.68629
124 4.94 1.59027 21.6408 0.687424 11.6462 1.29804 10.0369
125 4.98 1.63349 22.5382 0.68982 11.8359 1.31615 10.3982
126 5.02 1.65874 23.4642 0.696453 12.0304 1.3466 10.7738
127 5.06 1.64875 24.3993 0.705204 12.2305 1.3686 11.1616
128 5.1 1.62073 25.3331 0.713379 12.4362 1.39452 11.5631
129 5.14 1.55531 26.2434 0.720884 12.6473 1.42628 11.9802
130 5.18 1.4789 27.1224 0.733984 12.8656 1.44166 12.4083
131 5.22 1.38557 27.9588 0.759968 13.0951 1.44025 12.8427
132 5.26 1.28644 28.7472 0.773839 13.3324 1.43747 13.2829
133 5.3 1.18782 29.4864 0.791146 13.5787 1.39186 13.7157
134 5.34 1.09225 30.1763 0.811118 13.8351 1.35442 14.1431
135 5.38 1.00494 30.8207 0.831103 14.1017 1.33472 14.5708
136 5.42 0.936251 31.4299 0.849828 14.3784 1.30976 14.9966
137 5.46 0.877846 32.0096 0.878098 14.6686 1.27639 15.4178
138 5.5 0.834221 32.5687 0.901987 14.971 1.25338 15.8374
139 5.54 0.799493 33.1122 0.930768 15.2876 1.23301 16.2563
140 5.58 0.775088 33.6468 0.954159 15.6169 1.20903 16.673
141 5.62 0.76099 34.1793 0.981692 15.9606 1.18336 17.0867
142 5.66 0.75251 34.7133 1.00356 16.3169 1.14849 17.4939
143 5.7 0.749238 35.2525 1.0267 16.6866 1.10177 17.8901
144 5.74 0.751544 35.8011 1.04457 17.0681 1.04651 18.2717
145 5.78 0.757355 36.3616 1.06477 17.4624 1.01916 18.6486
146 5.82 0.761018 36.9326 1.08073 17.8681 0.996736 19.0223
147 5.86 0.773611 37.5211 1.10564 18.2889 0.950302 19.3835
148 5.9 0.786623 38.1276 1.12528 18.7231 0.914087 19.7357
149 5.94 0.798536 38.7518 1.13833 19.1683 0.85961 20.0714
150 5.98 0.801526 39.3867 1.15723 19.6269 0.794868 20.386
151 6.02 0.807113 40.0347 1.16864 20.0964 0.735921 20.6812
152 6.06 0.812047 40.6953 1.18099 20.5771 0.696483 20.9643
153 6.1 0.821176 41.3722 1.19371 21.0694 0.655005 21.2341
154 6.14 0.829315 42.0647 1.20551 21.5731 0.628165 21.4962
155 6.18 0.838793 42.7744 1.20931 22.085 0.625107 21.7604
156 6.22 0.844167 43.4979 1.21668 22.6068 0.622801 22.0271
157 6.26 0.851538 44.2371 1.22099 23.1371 0.627791 22.2994
158 6.3 0.866473 44.9989 1.22899 23.6777 0.625725 22.5743
159 6.34 0.87491 45.7779 1.22496 24.2235 0.635211 22.8569
160 6.38 0.893126 46.5833 1.21898 24.7734 0.656385 23.1526
161 6.42 0.905926 47.4104 1.20234 25.3227 0.671321 23.4589
162 6.46 0.921875 48.2626 1.18614 25.8714 0.692946 23.779
163 6.5 0.932865 49.1357 1.16674 26.4177 0.726938 24.1189
164 6.54 0.944597 50.0307 1.14516 26.9606 0.751577 24.4747
165 6.58 0.955402 50.9471 1.121 27.4986 0.768342 24.8429
166 6.62 0.960017 51.879 1.10232 28.034 0.793972 25.228
167 6.66 0.968428 52.8306 1.07941 28.5647 0.816963 25.6291
168 6.7 0.977708 53.8028 1.05836 29.0913 0.830685 26.0419
169 6.74 0.995595 54.8047 1.03304 29.6114 0.857393 26.473
170 6.78 1.00852 55.8317 1.00077 30.1213 0.882193 26.9218
171 6.82 1.03344 56.8965 0.975884 30.6244 0.915461 27.3931
172 6.86 1.05165 57.9928 0.94819 31.119 0.947992 27.8869
173 6.9 1.06722 59.1184 0.9207 31.6048 0.978855 28.4027
174 6.94 1.08284 60.2737 0.893471 32.0818 1.00658 28.9393
175 6.98 1.0957 61.4562 0.875997 32.5548 1.04437 29.5025
176 7.02 1.10935 62.6673 0.859747 33.0244 1.07639 30.0896
177 7.06 1.11497 63.8983 0.844546 33.491 1.09902 30.6959
178 7.1 1.12067 65.1498 0.829076 33.9542 1.10573 31.3129
179 7.14 1.13057 66.4265 0.825575 34.4207 1.11341 31.9411
180 7.18 1.13389 67.7214 0.816538 34.8873 1.109 32.5739
181 7.22 1.14114 69.0392 0.815237 35.3583 1.09708 33.2069
182 7.26 1.14734 70.3788 0.812514 35.833 1.09827 33.8476
183 7.3 1.15198 71.7387 0.817962 36.3161 1.10411 34.4989
184 7.34 1.15068 73.112 0.825885 36.8093 1.12247 35.1682
185 7.38 1.15844 74.5097 0.832571 37.3119 1.1411 35.8561
186 7.42 1.1575 75.9214 0.847126 37.8288 1.18021 36.5753
187 7.46 1.15161 77.3411 0.855498 38.3565 1.20848 37.3197
188 7.5 1.14456 78.7673 0.86474 38.8957 1.2317 38.0866
189 7.54 1.13916 80.2019 0.874393 39.4466 1.23063 38.8609
190 7.58 1.12023 81.6277 0.885582 40.0106 1.22762 39.6416
191 7.62 1.10402 83.0478 0.89737 40.5881 1.22584 40.4295
192 7.66 1.0857 84.4589 0.911023 41.1806 1.21349 41.2176
193 7.7 1.06114 85.8526 0.924871 41.7884 1.20198 42.0063
194 7.74 1.03917 87.2317 0.942179 42.414 1.1828 42.7906
195 7.78 1.01369 88.5909 0.955467 43.055 1.15559 43.5648
196 7.82 0.988158 89.9295 0.968764 43.7116 1.1277 44.3281
197 7.86 0.962272 91.2464 0.983021 44.3848 1.10634 45.0846
198 7.9 0.938427 92.5438 0.996872 45.0743 1.09309 45.8397
199 7.94 0.922299 93.8318 1.01094 45.7807 1.06908 46.5857
200 7.98 0.910063 95.1156 1.02374 46.5033 1.05195 47.3272
