# RCUT sensitivity of King-ring distinct fractions + network defect counts
# run  rcut  bridgeO%  O1  O2  O3  Si3  Si4  Si5  f3  f4  f5  f6  f7  f8  f9  mean_n
7net 1.85 99.653 3 1435 2 1 719 0 0.070546 0.156163 0.248321 0.316173 0.156850 0.048099 0.003848 5.4923
7net 1.90 99.583 3 1434 3 0 720 0 0.071656 0.155788 0.248237 0.316481 0.156656 0.047344 0.003839 5.4881
7net 1.95 99.583 3 1434 3 0 720 0 0.071656 0.155788 0.248237 0.316481 0.156656 0.047344 0.003839 5.4881
7net 2.00 99.583 3 1434 3 0 720 0 0.071656 0.155788 0.248237 0.316481 0.156656 0.047344 0.003839 5.4881
7net 2.05 99.583 3 1434 3 0 720 0 0.071656 0.155788 0.248237 0.316481 0.156656 0.047344 0.003839 5.4881
7net 2.10 99.583 3 1434 3 0 720 0 0.071656 0.155788 0.248237 0.316481 0.156656 0.047344 0.003839 5.4881
7net 2.15 99.583 3 1434 3 0 720 0 0.071656 0.155788 0.248237 0.316481 0.156656 0.047344 0.003839 5.4881
BKS_2e13 1.85 99.583 4 1434 2 2 718 0 0.029604 0.156063 0.312256 0.276088 0.181852 0.040705 0.003432 5.5604
BKS_2e13 1.90 99.653 3 1435 2 1 719 0 0.029537 0.155709 0.315399 0.275032 0.181072 0.039971 0.003282 5.5554
BKS_2e13 1.95 99.722 2 1436 2 1 718 1 0.029482 0.155424 0.316103 0.274528 0.182571 0.038616 0.003276 5.5542
BKS_2e13 2.00 99.722 2 1436 2 1 718 1 0.029482 0.155424 0.316103 0.274528 0.182571 0.038616 0.003276 5.5542
BKS_2e13 2.05 99.722 2 1436 2 1 718 1 0.029482 0.155424 0.316103 0.274528 0.182571 0.038616 0.003276 5.5542
BKS_2e13 2.10 99.722 2 1436 2 1 718 1 0.029482 0.155424 0.316103 0.274528 0.182571 0.038616 0.003276 5.5542
BKS_2e13 2.15 99.722 2 1436 2 1 718 1 0.029482 0.155424 0.316103 0.274528 0.182571 0.038616 0.003276 5.5542
BKS_5e12 1.85 99.722 2 1436 2 0 720 0 0.028295 0.144689 0.309955 0.310170 0.160949 0.043085 0.002858 5.5715
BKS_5e12 1.90 99.792 1 1437 2 0 719 1 0.029506 0.145607 0.308404 0.310457 0.160360 0.042816 0.002851 5.5664
BKS_5e12 1.95 99.792 0 1437 3 0 717 3 0.030663 0.145011 0.307142 0.311742 0.161346 0.041683 0.002413 5.5628
BKS_5e12 2.00 99.792 0 1437 3 0 717 3 0.030663 0.145011 0.307142 0.311742 0.161346 0.041683 0.002413 5.5628
BKS_5e12 2.05 99.792 0 1437 3 0 717 3 0.030663 0.145011 0.307142 0.311742 0.161346 0.041683 0.002413 5.5628
BKS_5e12 2.10 99.792 0 1437 3 0 717 3 0.030663 0.145011 0.307142 0.311742 0.161346 0.041683 0.002413 5.5628
BKS_5e12 2.15 99.792 0 1437 3 0 717 3 0.030663 0.145011 0.307142 0.311742 0.161346 0.041683 0.002413 5.5628
BKS_5e13 1.85 99.653 2 1435 3 1 717 2 0.033159 0.153999 0.307870 0.296519 0.165978 0.039217 0.003259 5.5388
BKS_5e13 1.90 99.722 1 1436 3 1 716 3 0.033110 0.153771 0.307414 0.296929 0.166823 0.038841 0.003113 5.5396
BKS_5e13 1.95 99.722 1 1436 3 1 716 3 0.033110 0.153771 0.307414 0.296929 0.166823 0.038841 0.003113 5.5396
BKS_5e13 2.00 99.653 1 1435 4 1 715 4 0.034278 0.153934 0.308757 0.295596 0.165768 0.038563 0.003103 5.5327
BKS_5e13 2.05 99.653 1 1435 4 1 715 4 0.034278 0.153934 0.308757 0.295596 0.165768 0.038563 0.003103 5.5327
BKS_5e13 2.10 99.653 1 1435 4 1 715 4 0.034278 0.153934 0.308757 0.295596 0.165768 0.038563 0.003103 5.5327
BKS_5e13 2.15 99.653 1 1435 4 1 715 4 0.034278 0.153934 0.308757 0.295596 0.165768 0.038563 0.003103 5.5327
BKS220_s0 1.85 99.792 1 1437 2 0 719 1 0.018006 0.142437 0.299665 0.356897 0.148271 0.033439 0.001286 5.5805
BKS220_s0 1.90 99.792 1 1437 2 0 719 1 0.018006 0.142437 0.299665 0.356897 0.148271 0.033439 0.001286 5.5805
BKS220_s0 1.95 99.792 1 1437 2 0 719 1 0.018006 0.142437 0.299665 0.356897 0.148271 0.033439 0.001286 5.5805
BKS220_s0 2.00 99.792 1 1437 2 0 719 1 0.018006 0.142437 0.299665 0.356897 0.148271 0.033439 0.001286 5.5805
BKS220_s0 2.05 99.792 1 1437 2 0 719 1 0.018006 0.142437 0.299665 0.356897 0.148271 0.033439 0.001286 5.5805
BKS220_s0 2.10 99.792 1 1437 2 0 719 1 0.018006 0.142437 0.299665 0.356897 0.148271 0.033439 0.001286 5.5805
BKS220_s0 2.15 99.792 1 1437 2 0 719 1 0.018006 0.142437 0.299665 0.356897 0.148271 0.033439 0.001286 5.5805
