# S4 E-V summary — BM3 fits (bm3.py, scipy-free; scipy 대조 검증됨)
# experiment: rho = 2.2 g/cc, K = 37.0 GPa
#
# structure                   rho0   vs exp      K0   K@2.20   vs exp    K0p   Pres    V/V0 window  K@2.20|win      dK  n
BKS  / BKS net 5e12         2.3442   +6.55%   34.33    45.33   +22.5%  -6.87    292    0.959-1.087       41.89   -7.6%  5
BKS  / BKS net 2e13         2.3877   +8.53%   38.76    45.95   +24.2%  -3.77    793    0.933-1.107       36.77  -20.0%  5
7net / BKS net 5e12         2.2185   +0.84%   43.23    43.92   +18.7%  -2.02     44    0.948-1.069       43.80   -0.3%  5
7net / BKS net 2e13         2.2551   +2.51%   42.67    42.98   +16.2%  -0.52     35    0.940-1.060       43.11   +0.3%  5
7net / OWN net 2e13         2.1595   -1.84%   39.28    38.11    +3.0%  -1.36     99    0.940-1.060       37.76   -0.9%  5
#
# K(rho) — same-density comparison (the only fair one)
#     rho     BKS  / BKS net 5e12     BKS  / BKS net 2e13     7net / BKS net 5e12     7net / BKS net 2e13     7net / OWN net 2e13
   2.0762                   49.74                   46.60                   46.50                   42.09                   40.67
   2.1595                   47.24                   46.49                   45.14                   42.92                   39.28
   2.2000                   45.33                   45.95                   43.92                   42.98                   38.11
   2.2185                   44.29                   45.60                   43.23                   42.93                   37.46
   2.2500                   42.28                   44.83                   41.87                   42.72                   36.18
   2.3000                   38.44                   43.15                   39.18                   42.07                   33.68
   2.3442                   34.33                   41.18                   36.23                   41.14                   30.97
#
# [A] QUENCH-RATE EFFECT  (BKS 가 만든 망, 5e12 -> 2e13, 읽는 건 7net)
#   망 생성자는 BKS 로 같고 냉각률만 4배 다르다 -> 순수 냉각률 효과
#   7net / BKS net 5e12  ->  7net / BKS net 2e13
#   rho0   : 2.2185 -> 2.2551  (+0.0366 g/cc, +1.65 %)   |  vs exp +0.84 % -> +2.51 %
#   K@2.20 : 43.92 -> 42.98 GPa (-0.94, -2.1 %)   |  vs exp +18.7 % -> +16.2 %
#   K 간극 중 사라진 비율: 14 %
#   [공통창 ±5% 재피팅] K@2.20 43.80 -> 43.11 (-0.70 GPa, -1.6 %)  <- 전 점(-0.94)과 붙으면 창 효과 아님
#
# [B] TOPOLOGY-FORMATION EFFECT  (냉각률 2e13 고정, 망 생성자 BKS -> 7net)
#   ★ 냉각률까지 맞춘 순수 위상 효과. 이게 최종 수치다.
#   7net / BKS net 2e13  ->  7net / OWN net 2e13
#   rho0   : 2.2551 -> 2.1595  (-0.0957 g/cc, -4.24 %)   |  vs exp +2.51 % -> -1.84 %
#   K@2.20 : 42.98 -> 38.11 GPa (-4.87, -11.3 %)   |  vs exp +16.2 % -> +3.0 %
#   K 간극 중 사라진 비율: 81 %
#   [공통창 ±5% 재피팅] K@2.20 43.11 -> 37.76 (-5.35 GPa, -12.4 %)  <- 전 점(-4.87)과 붙으면 창 효과 아님
#
# [B'] (임시) 냉각률 미매칭 위상 효과 — [A] 가 나오기 전까지의 근사
#   냉각률 4배 차이가 섞여 있다. [B] 가 나오면 폐기할 것.
#   7net / BKS net 5e12  ->  7net / OWN net 2e13
#   rho0   : 2.2185 -> 2.1595  (-0.0590 g/cc, -2.66 %)   |  vs exp +0.84 % -> -1.84 %
#   K@2.20 : 43.92 -> 38.11 GPa (-5.81, -13.2 %)   |  vs exp +18.7 % -> +3.0 %
#   K 간극 중 사라진 비율: 84 %
#   [공통창 ±5% 재피팅] K@2.20 43.80 -> 37.76 (-6.04 GPa, -13.8 %)  <- 전 점(-5.81)과 붙으면 창 효과 아님
#
