# run           rate(K/s)  Tg_arrest(K)  Tg_caloric(K)  P300(GPa)  liqdMSD  DR(x)
7net            2.0e+13          2000           2431       0.80   14.134  141.3
BKS 1e12        1.0e+12          2600           2849      -2.89   18.652  186.5
BKS 1e13        1.0e+13          2800           2919      -2.34    2.228   22.3
BKS 1e14        1.0e+14          3000           2560      -2.34    0.271    2.7
BKS 2e12        2.0e+12          2800           2988      -2.36    9.874   98.7
BKS 2e13        2.0e+13          2800           2962      -3.07    1.032   10.3
BKS 2e13_r2     2.0e+13          3000           3059      -2.27    1.211   12.1
BKS 2e13_r3     2.0e+13          2500           2731      -2.46    1.125   11.3
BKS 5e12        5.0e+12          2700           2908      -2.79    4.384   43.8
BKS 5e13        5.0e+13          3000           2468      -3.19    0.390    3.9
